scheme,clave,descripcion,class,rationale
J_2018_2022,J006,"Otros: servicio de ambulancia, etcétera, durante el parto",curative,delivery (parto): realized-event hospital/professional services
J_2018_2022,J007,"Consultas médicas, durante el embarazo",preventive,prenatal control: scheduled monitoring during pregnancy
J_2018_2022,J008,"Consultas, placas, puentes dentales y otros, durante el embarazo",ambiguous,dental during pregnancy
J_2018_2022,J009,"Medicamentos recetados, durante el embarazo",ambiguous,prescribed medicines in pregnancy: treatment vs supplementation not observable
J_2018_2022,J010,"Vitaminas y complementos alimenticios, durante el embarazo",preventive,prenatal control: scheduled monitoring during pregnancy
J_2018_2022,J011,"Análisis clínicos y estudios médicos: rayos X, ultrasonidos, durante el embarazo",preventive,prenatal control: scheduled monitoring during pregnancy
J_2018_2022,J012,Hospitalización durante el embarazo (no parto),curative,hospitalization during pregnancy (non-delivery): complication response
J_2018_2022,J013,"Servicios de partera, durante el embarazo",preventive,prenatal control: scheduled monitoring during pregnancy
J_2018_2022,J014,"Hierbas medicinales, remedios caseros, etcétera, durante el embarazo",ambiguous,herbal/home remedies in pregnancy
J_2018_2022,J015,"Otros servicios: ambulancia, aplicación de inyecciones, vacunas, etcétera, durante el embarazo",ambiguous,mixed rubro: ambulance + injections + vaccines
J_2018_2022,J016,Consultas médico general,curative,"medical consultations: motive unobservable, predominantly illness-driven (stated judgment)"
J_2018_2022,J017,"Consultas médico especialista (pediatría y ginecología, etcétera )",curative,"medical consultations: motive unobservable, predominantly illness-driven (stated judgment)"
J_2018_2022,J018,"Consultas dentales (placas dentales o prótesis dentales, etcétera )",ambiguous,dental
J_2018_2022,J019,Análisis clínicos y estudios médicos: rayos X,ambiguous,diagnostics: screening vs illness workup not observable (2022 wording includes 'tamiz')
J_2018_2022,J020,"Medicamentos recetados para: diarrea, infecciones y malestar estomacal",curative,prescribed medicines for acute conditions
J_2018_2022,J021,Medicamentos recetados para: gripe,curative,prescribed medicines for acute conditions
J_2018_2022,J022,Medicamentos recetados para: piel,curative,prescribed medicines for acute conditions
J_2018_2022,J023,Medicamentos recetados para: alergias,curative,prescribed medicines for acute conditions
J_2018_2022,J024,Medicamentos recetados para: tos,curative,prescribed medicines for acute conditions
J_2018_2022,J025,Medicamentos recetados para: infecciones de la garganta,curative,prescribed medicines for acute conditions
J_2018_2022,J026,Medicamentos recetados para: fiebre,curative,prescribed medicines for acute conditions
J_2018_2022,J027,Medicamentos recetados para: inflamación,curative,prescribed medicines for acute conditions
J_2018_2022,J028,Medicamentos recetados para: otras infecciones (antibióticos),curative,prescribed medicines for acute conditions
J_2018_2022,J029,Medicamentos recetados para: dolor de cabeza y migraña,curative,prescribed medicines for acute conditions
J_2018_2022,J030,Medicamentos recetados para: otro tipo de dolores,curative,prescribed medicines for acute conditions
J_2018_2022,J031,Medicamentos recetados para: presión arterial,ambiguous,"chronic-disease maintenance medication (hypertension, diabetes)"
J_2018_2022,J032,Medicamentos recetados para: diabetes,ambiguous,"chronic-disease maintenance medication (hypertension, diabetes)"
J_2018_2022,J033,Medicamentos recetados para: vitaminas,ambiguous,prescribed vitamins: supplementation
J_2018_2022,J034,Medicamentos recetados para: anticonceptivos,preventive,contraception
J_2018_2022,J035,Otros medicamentos recetados,curative,prescribed medicines for acute conditions
J_2018_2022,J036,Consultas médicas para el control de peso,ambiguous,weight control: lifestyle vs treatment
J_2018_2022,J037,Medicamentos y productos para el control de peso,ambiguous,weight control: lifestyle vs treatment
J_2018_2022,J038,Tratamiento para el control de peso,ambiguous,weight control: lifestyle vs treatment
J_2018_2022,J039,"Honorarios por servicios profesionales: cirujano, anestesista, etcétera",curative,hospitalization / surgery block
J_2018_2022,J040,Hospitalización (no incluye parto ni embarazo),curative,hospitalization / surgery block
J_2018_2022,J041,"Análisis clínicos y estudios médicos (rayos X, electros, etcétera )",curative,hospitalization / surgery block
J_2018_2022,J042,Medicamentos recetados y material de curación durante la atención hospitalaria (no incluye parto),curative,hospitalization / surgery block
J_2018_2022,J043,"Otros: servicios de ambulancia, oxígeno, suero, sondas, bolsas de diálisis y de orina, cómodos, etcétera",curative,hospitalization / surgery block
J_2018_2022,J044,"Medicamentos sin receta para: diarrea, infecciones y malestar estomacal",ambiguous,over-the-counter medicines (instruction-listed ambiguous)
J_2018_2022,J045,Medicamentos sin receta para: gripe,ambiguous,over-the-counter medicines (instruction-listed ambiguous)
J_2018_2022,J046,Medicamentos sin receta para: piel,ambiguous,over-the-counter medicines (instruction-listed ambiguous)
J_2018_2022,J047,Medicamentos sin receta para: alergias,ambiguous,over-the-counter medicines (instruction-listed ambiguous)
J_2018_2022,J048,Medicamentos sin receta para: tos,ambiguous,over-the-counter medicines (instruction-listed ambiguous)
J_2018_2022,J049,Medicamentos sin receta para: infecciones de la garganta,ambiguous,over-the-counter medicines (instruction-listed ambiguous)
J_2018_2022,J050,Medicamentos sin receta para: fiebre,ambiguous,over-the-counter medicines (instruction-listed ambiguous)
J_2018_2022,J051,Medicamentos sin receta para: inflamación,ambiguous,over-the-counter medicines (instruction-listed ambiguous)
J_2018_2022,J052,Medicamentos sin receta para: otras infecciones (antibióticos),ambiguous,over-the-counter medicines (instruction-listed ambiguous)
J_2018_2022,J053,Medicamentos sin receta para: dolor de cabeza y migraña,ambiguous,over-the-counter medicines (instruction-listed ambiguous)
J_2018_2022,J054,Medicamentos sin receta para: otro tipo de dolores,ambiguous,over-the-counter medicines (instruction-listed ambiguous)
J_2018_2022,J055,Medicamentos sin receta para: vitaminas,ambiguous,OTC vitamins / chronic maintenance
J_2018_2022,J056,Medicamentos sin receta para: presión arterial,ambiguous,OTC vitamins / chronic maintenance
J_2018_2022,J057,Medicamentos sin receta para: diabetes,ambiguous,OTC vitamins / chronic maintenance
J_2018_2022,J058,Medicamentos sin receta para: anticonceptivos,preventive,contraception (OTC)
J_2018_2022,J059,Otros medicamentos sin receta,ambiguous,over-the-counter medicines (instruction-listed ambiguous)
J_2018_2022,J060,"Algodón, gasas, vendas, jeringas, etcétera",ambiguous,first-aid supplies
J_2018_2022,J061,"Alcohol, merthiolate, solución antiséptica, botiquín de primeros auxilios, etcétera",ambiguous,first-aid supplies
J_2018_2022,J062,"Consultas con el curandero, huesero, quiropráctico, etcétera",ambiguous,alternative medicine
J_2018_2022,J063,"Medicamentos naturistas, hierbas medicinales, remedios caseros, Omnilife, Herbalife",ambiguous,alternative medicine
J_2018_2022,J064,Medicamentos homeopáticos,ambiguous,alternative medicine
J_2018_2022,J065,Anteojos y lentes de contacto e intraoculares,ambiguous,optical / hearing aids
J_2018_2022,J066,Aparatos para sordera,ambiguous,optical / hearing aids
J_2018_2022,J067,"Aparatos ortopédicos y para terapia, silla de ruedas, andadera, muletas, etcétera",curative,orthopedic/rehab devices for realized conditions
J_2018_2022,J068,Reparación y mantenimiento de aparatos ortopédicos,curative,orthopedic/rehab devices for realized conditions
J_2018_2022,J069,"Otros: pago de enfermeras y personal al cuidado de enfermos, terapias, baumanómetro, glucómetro, tiras reactivas, cómodo, etcétera",ambiguous,mixed rubro: nursing care + chronic monitoring devices
J_2018_2022,J070,Cuotas a hospitales o clínicas,ambiguous,"insurance premiums / prepayment quotas: financing, not care"
J_2018_2022,J071,Cuotas a compañías de seguros,ambiguous,"insurance premiums / prepayment quotas: financing, not care"
J_2018_2022,J072,Cuotas de seguro popular,ambiguous,"insurance premiums / prepayment quotas: financing, not care"
