id,capitulo,seccion,afirmacion,tipo,valor_ciep,fuente_oficial,valor_oficial,coincide,discrepancia,tipo_error,nota
V013,3 Salud,Cuadro 8 (p.21),"SSa: Atención y medicamentos gratuitos 81,884 -> 74,767 (-8.7%); Prevención (4) 3,024 -> 2,988 (-1.2); Vacunación 2,161 -> 2,154 (-0.3); Vigilancia 551 -> 550 (-0.2); Atención a la Salud 24,093 -> 44,779 (+85.9); Proyectos de infraestructura 115 -> 0",a/b,,"AN: (72,538.4+6,634.0)×1.034=81,864 -> 74,766.7 (-8.7); (534.0+1,387.0+552.0+451.3)×1.034=3,023.7 -> 2,988.4 (-1.2); 2,160.3 -> 2,153.5; 550.8 -> 549.8; 24,086.8 -> 44,779.1; 111.3×1.034=115.1 -> 0",coinciden (base 2020 con diferencia de deflactor ≤0.03%),si,,,La fila 'Atención y medicamentos gratuitos' 2020 suma Seguro Popular + U013; declarado en nota 3 de p.19.
V014,3 Salud,Cuadro 8 (p.21),"FASSA 106,912 -> 109,501 (+2.4); IMSS Atención 245,699 -> 251,732 (+2.5); IMSS prevención 7,048 -> 7,002 (-0.7); IMSS mantenimiento 949 -> 0; ISSSTE Atención 28,197 -> 23,872 (-15.3); ISSSTE prevención 5,477 -> 5,017 (-8.4); ISSSTE proyectos 1,878 -> 820 (-56.3); IMSS-Bienestar 13,637 -> 13,608 (-0.2); Pemex 12,865 -> 17,442 (+35.6)",a/b,,"AN20×1.034 / AN21: 106,886 -> 109,501.3; 245,639.5 -> 251,731.8; 7,046.3 -> 7,001.6; 948.4 -> (no en lista 2021); 28,190.7 -> 23,871.7; 5,476.1 -> 5,016.9; 1,877.4 -> 820 (EM p.67); 13,634.0 -> 13,607.6; 12,861.5 -> 17,441.6",coinciden,si,,,IMSS mantenimiento 2021 = 0 no verificado (programa no listado en AN21 top); plausible.
V015,3 Salud,3.2 UR (p.21-22),"62 UR de la SSa, 33 con recortes; DG Planeación 8,193 -> 1,826 (-77.7%); CCINSHAE 1,223 -> 7,513 (+514.5%)",a/b,,"AN R12 por UR: 7,922.1×1.034=8,191.4 -> 1,825.5; CCINSHAE 2021 7,512.7 (2020 no en extracto)",DG Planeación y CCINSHAE 2021 coinciden,aprox,,,Conteo de UR y base CCINSHAE 2020 no verificados en esta corrida (posible con AN20 por UR).
V016,3 Salud,Cuadro 9 (p.22),"UR seleccionadas 2020->2021: Equidad de Género 2,448 -> 1,847 (-24.5); DIF 2,031 -> 1,962; Cardiología 1,387 -> 1,350; CeNSIA 2,240 -> 2,232; Cofepris 729 -> 732; Cancerología 1,489 -> 1,494; INER 1,316 -> 1,325; Psiquiatría 406 -> 421; Pediatría 1,868 -> 1,906",a,,"AN21 por UR: 1,846.8; 1,962.4; 1,350.2; 2,231.6; 1,494.5; 1,325.3; 1,905.9 (2020: 2,366.7×1.034=2,447; 1,963.5×1.034=2,030; 1,806.6×1.034=1,868)",coinciden,si,,,
V017,3 Salud,3.3 (p.21),El presupuesto para salud en 2020 se modificó hacia abajo y se redujo 0.25% respecto al aprobado pre pandemia,a,-0.25%,(Informes trimestrales / Cuenta Pública 2020 no en carpeta),,no_verificable,,,Haría falta el Informe al 2T-2020 o la Cuenta Pública 2020.
V018,3 Salud,3.3 (p.21) y Resumen,El incremento de 9.1% en la SSa incluye los recursos obtenidos del FSB; sin ellos habría sido recorte,b/c,,"ILIF trans. 13o. (PDF 122): hasta 33,000 mdp del FSB a la Tesorería, sin destino; AN21: aportación al FSB 16,703.5; PPEF no etiqueta ingreso del FSB a ningún gasto",no hay en el paquete un vínculo FSB -> Ramo 12,no_verificable,,,"El mecanismo (extracción del FSB financia el aumento de la SSa) no está en los documentos; es inferencia. Registrado como no verificable, no como juicio, porque es una afirmación fáctica sobre el financiamiento."
V019,3 Salud,3.3 Per cápita (p.21-23),"Gasto per cápita cae en todos los subsistemas salvo Pemex (+34%); INSABI de $3,607 a $2,602 por persona (-1,005)",b,"3,607; 2,602",(poblaciones por subsistema no en carpeta; Pemex +34.56% cuadro 7),,no_verificable,,,Requiere afiliados/adscritos por subsistema (CONAPO/SSa/IMSS). Pemex +34% coincide con cuadro 7.
V020,3 Salud,Figura 7 (p.22-23),"FASSA per cápita: Tabasco $1,941 y CDMX $1,991 por debajo de la media; Campeche, Nayarit, Aguascalientes, Colima y BCS > $4,000; incidencia Covid > 1,000 por 100 mil en Tabasco y CDMX",b,,(FASSA por entidad: DEC Anexo 22 / AN21 columna EF; población CONAPO; incidencia SSa) no procesado,,no_verificable,,,Verificable en corrida futura con AN21 (columna EF) y CONAPO.
V021,3 Salud,3.3 Prevención (p.23),Recortes a prevención: SSa 4 programas -36 mdp; IMSS -46; ISSSTE -461,b,36; 46; 461,"cuadro 8 / AN: 3,023.7-2,988.4=35.3; 7,046.3-7,001.6=44.7; 5,476.1-5,016.9=459.2",coinciden,si,,,
V022,3 Salud,3.3 Vacunas (p.23),El PPEF 2021 no especifica recursos para la compra de vacuna Covid19; programa de vacunación -7 mdp,a,,"AN21 (búsqueda COVID/vacuna: solo E036 2,153.5); CGPE p.42 ('recursos que sean necesarios', sin monto); E036 2,160.3 -> 2,153.5",coincide,si,,,Hallazgo coincidente con el inventario.
V023,3 Salud,Figura 8 (p.23-24),"Presupuesto necesario para vacunar al 100% de la población: 10,223 mdp (dosis única, precio AstraZeneca)",b,"10,223",(estimación CIEP con CONAPO y precio externo),,no_verificable,,,Modelo propio de CIEP.
V024,3 Salud,3.3 Inversión (p.23),"Recortes en infraestructura y mantenimiento: IMSS 949; ISSSTE 1,058; SSa 115; camas por mil habitantes 1.8 (2010) -> 0.90 (2020)",a/b,,"cuadro 8 / AN (948.4; 1,877.4-820=1,057; 115.1); camas: CIEP 2020b (externo)",montos coinciden; camas no verificable,aprox,,,
V025,3 Salud,3.3 Recursos humanos (p.23),"SSa y Sedena únicas con presupuesto para creación de plazas; SSa 6,566 mdp = 18,266 plazas a $29,956 mensuales; 8,977 plazas en 25 hospitales; 9,449 residentes; basificación 2,225.9",a/b,"6,566; 18,266","EM p.64-65: 2,225.9+3,492.1+202.3+645.9 (residentes SSA) = 6,566.2; 6,566.2e6/(29,956×12)=18,266; 8,977; 9,449; 2,225.9","6,566.2; 18,266; coinciden",si,,,"'Únicas con presupuesto' no verificado (AN21 partida 16102 aparece al menos en INSABI 5,718.0)."
V026,3 Salud,3.3 Recursos humanos (p.23),Basificar a todo el personal eventual de la SSa requeriría 18 mil mdp (CIEP 2020a),b,"18,000",(estimación CIEP),,no_verificable,,,
V027,3 Salud,3.3 Consideraciones (p.24),"FMI (2020a): aumentar recursos vía reasignación e impuestos al tabaco, alcohol, azúcar; reducir ineficiencias",c,,,,,,,Juicio / cita externa.
V028,3 Salud,3.3 Financiamiento (p.24),La discusión sobre financiamiento sigue pendiente; el Estatuto Orgánico del INSABI no detalla fuentes; el aumento de la SSa no es fuente recurrente,c,,,,,,,Juicio.
V029,3 Salud,3.3 Trazabilidad (p.24),Se eliminan unidades responsables y se concentra el presupuesto en programas específicos; riesgo de menor trazabilidad,a/c,,"AN: UR CNPSS (U00) desaparece; INSABI (M7B) concentra 89,301.3 en 3 programas",descriptivo coincide; riesgo es juicio,si,,,
V030,Resumen,Cap.1 (p.vii),"Techo de endeudamiento 718,193 mdp = 2.9% PIB; +21% respecto al endeudamiento aprobado 2020; primario equilibrado",a/b,"718,193; 2.9; 21","CGPE p.13/110; DEC art.2; LIF 2020 art.1 (547,140.8; financiamientos 584,456.8)","718,193.4; 2.9; vs 547,140.8: +31.3 nominal / +26.9 real; vs financiamientos 584,456.8: +22.9 / +18.8",no,21 vs 26.9 (real) o 31.3 (nominal),transcripcion,"Ninguna base reproduce 21%. El propio cuadro 2 de CIEP (565,871.1 -> 718,193.4) implica +26.9%."
V031,Resumen,Cap.1 (p.vii),"SHRFSP 53.7% PIB, 1 pp menos que el esperado a fin de 2020",a,53.7; -1.0,"CGPE p.13, 103",53.7; 2020 est. 54.7,si,,,
V032,Resumen,Cap.2 (p.vii),"Gasto total 6.3 billones = 25.2% PIB, -0.3% real vs aprobado 2020",a,6.3 bn; 25.2; -0.3,DEC art.2; EM p.160; CGPE p.110,"6,295,736.2; 25.2; -0.3",si,,,
V033,Resumen,Cap.2 (p.vii),"Considerando las modificaciones por Covid al cierre 2020, el PPEF 2021 es 1.3% menor",b,-1.3,"CGPE p.111 (gasto neto pagado est. 2020 6,044,904.8 -> 6,257,140.0)",+0.1% real (pagado); devengado reconstruido +0.1,no,-1.3 vs +0.1,contrafactual,"La base 'cierre 2020' de CIEP no es el estimado del CGPE; hipótesis: modificado al 2T (Informe trimestral, no en carpeta)."
V034,Resumen,Cap.2 (p.vii),"Espacio fiscal 2021 = 2.0% PIB = 511,545 mdp",b,"2.0; 511,545","derivación propia de CIEP (ingresos tributarios + no tributarios menos pensiones, participaciones, aportaciones, deuda, Pemex, CFE, IMSS, ISSSTE)","511,545/24,983,900 = 2.05% (aritmética); la resta no se reproduce: 3,737,179.8 - 1,064,088.5 - 921,402.6 - 777,842.9 - 541,094.6 = 432,751",no_verificable,,,"Haría falta la definición exacta de cada componente; ninguna combinación de líneas de ILIF/EM da 511,545."
V035,Resumen,Cap.4 (p.vii-viii),"Educación 836,400 mdp; crecimiento nulo vs PEF 2020; -1.3% vs ejercido 2019; infraestructura educativa -29.7%",a,,ver filas cap.4,,si,,,Restitución del capítulo 4; -1.3% vs 2019 no verificable (Cuenta Pública).
V036,Resumen,Cap.5 (p.viii),"Pensiones 1.2 billones = 4.9% PIB, quinta parte del gasto; 1 pp más que IVA; contributivas +6.6, no contributivas +1.4; 77 veces; 5.3% PIB en 2026",a,,ver filas cap.5,,si,,,Restitución del capítulo 5; '77 veces' no verificable.
V037,Resumen,Cap.6 (p.viii),"Energía 1.2 billones, 4.9 pp PIB, 19.4% del gasto, -3.2%; corriente -5.8; inversión +1.3; Pemex +4.1; CFE -13.1",a,,ver filas cap.6,,aprox,inversión +1.3 no coincide,perimetro,Todo coincide salvo 'inversión +1.3' (AN: +0.5 función; +1.9 EPE). Ver cap.6.
V038,Resumen,Cap.7 (p.viii),"Gasto federalizado 1 billón 867 mil 338.4 'pesos reales'; -5.5%; 29.7% del gasto; 7.5% PIB; todos los estados reciben menos; Tamaulipas -2.8, Zacatecas -3.4, CDMX -17.7, Campeche -10.8",a,,EM p.201; ver cap.7,"1,867,338.4 mdp; -5.5; 29.7; 7.5",aprox,"unidades: son mdp, no pesos",transcripcion,Los cambios por estado no son verificables (base 2020 por entidad + CONAPO).
V039,Resumen,Cap.8 (p.viii-ix),"Inversión 829,385.9 mdp, +5.3%; 52.2% a infraestructura; 3.3 vs 4.5% PIB (BM); energía casi 15 veces educación+salud",a,,ver cap.8,,aprox,'casi 15 veces' no coincide (16.8),perimetro,"Ver cap.8: educación+salud = 3.3% de la inversión, no 3.9%."
V040,Resumen,Cap.9 (p.ix),"Seguridad 312,099 mdp = 1.2% PIB; +10.9% real; +1.2% descontando programas no destinados a seguridad",a,,ver cap.9,"312,099.9; 1.25; +7.0 real con las mismas 15 subfunciones",no,10.9 vs 7.0,contrafactual,Ver cap.9.
V041,Resumen,Cap.10 (p.ix),"Ingresos 'ILIF 2020' [sic] 5.5 billones, -0.5% real vs cierre 2020; tributarios 3.5 billones, +5.7% vs cierre",a,,CGPE p.111,"5,538,946.6; -0.5; 3,532,974.1; +5.7",si,,,Errata 'ILIF 2020' por ILIF 2021.
V042,Resumen,Cap.11 (p.ix),"Ingresos energéticos 1.3 billones, 21.3% de ingresos, 5.4 pp PIB; +8.7% vs cierre 2020; -7.7% vs LIF 2020",a/b,,ver cap.11,,si,,,
V043,Retos fiscales,p.x-xi,No es un presupuesto contracíclico; déficit primario de cero; dudas sobre optimismo macro; aprovechamientos no identificados,c,,,,,,,"Juicio. Los 'aprovechamientos no identificados' son verificables: ILIF art.1 'Otros' aprovechamientos 144,477.4 (2020: 91,427.5)."
V044,1 Deuda,1.1 (p.3),SHRFSP se reduce 1 pp en 2021; cierre 2020 estimado +9.9 pp del PIB vs 2019 hasta 54.7% (máximo histórico),a/b,54.7; 9.9,CGPE p.103 (2019 44.8; 2020 est 54.7; 2021 53.7),54.7 - 44.8 = 9.9,si,,,'Máximo histórico' no verificado con serie.
V045,1 Deuda,Cuadro 1 (p.3),SHRFSP 2020-2026: 54.7 / 53.7 / 53.4 / 53.1 / 52.8 / 52.5 / 52.2,a,,"CGPE p.13, 93",54.7; 53.7; 53.4 (2022) ... 52.2 (2026),si,,,2023-2025 no extraídos al inventario; trayectoria consistente.
V046,1 Deuda,1.1 (p.3),Caída estimada 2020 de -8%; objetivo de crecimiento 2021 de 4.7%,a,-8; 4.7,"CGPE p.41, 109",-8.0; 4.6 (rango 3.6-5.6),no,4.7 vs 4.6,transcripcion,
V047,1 Deuda,1.1 (p.3),Deuda no presupuestaria 2021 = 0.5% PIB; reducción de 1.3 pp vs cierre estimado 2020,a/b,0.5; -1.3,CGPE p.47-48 (RFSP fuera de presupuesto 0.5%); 2020 est: RFSP 4.7 - balance 2.9 = 1.8,0.5; 1.8 - 0.5 = 1.3,si,,,
V048,1 Deuda,1.1 (p.3-4),La deuda no presupuestaria aumentaría 285% respecto al valor presentado en el Paquete 2020,b,285,"CGPE 2020 p.73 (necesidades fuera de presupuesto 2020: 131,270.2 mdp = 0.5% PIB); CGPE 2021 p.47 (0.5% PIB = 124.9 mmp)",124.2-124.9 vs 131.3: -5%,no,285 vs -5,contrafactual,"No reproducible con ninguna línea del cuadro de RFSP (IPAB, adecuaciones, Pidiregas). Hipótesis: compara el estimado 2020 (1.8%) contra el PE 2020 (0.5%) y lo atribuye a 2021."
V049,1 Deuda,1.1 (p.4),Costo financiero -3.8% vs aprobado 2020,a,-3.8,CGPE p.110; EM p.162,-3.8,si,,,
V050,1 Deuda,1.1 (p.4),Balance primario: reducción de 97% vs aprobado 2020; balance equilibrado,a,-97,"CGPE p.110 (180,733.0 -> 6,205.1; -96.7% real; 0.0% PIB)",-96.7,si,,,
V051,1 Deuda,1.1 (p.5),Aumento del déficit es tendencial: necesidades de financiamiento equivalentes al costo financiero,b,,"CGPE p.110: déficit 718,193.4; costo financiero 723,898.5; primario 6,205.1",718.2 = 723.9 - 6.2 (identidad),si,,,Relación con mecanismo declarado (identidad del balance).
V052,1 Deuda,1.1 (p.5),"Techo de endeudamiento interno GF 699,125 mdp, +27% vs aprobado 2020",a/b,"699,125; 27","ILIF art.1 (699,125.7); LIF 2020 (532,266.1)","699,125.7; +31.3 nominal; +27.0 real (x1.0342)",si,,,Comparación real no declarada como tal.
V053,1 Deuda,1.1 (p.5),"Pemex: techo interno 92,687 mdp, +43% vs aprobado 2020; externo hasta 5,200 mdd",a/b,"92,687; 43; 5,200","DEC art.5; ILIF art.2 (5,200 mdd); LIF 2020 (62,623.5)","92,687.0; +43.1 real; 5,200",si,,,"El techo externo de 5,200 mdd es del GF (ILIF art.2), no de Pemex."
V054,1 Deuda,Cuadro 2 (p.5),"Aprobado 2020: GF -550,487.23; Pemex -64,767.30; CFE 0; IMSS/ISSSTE 49,383.39; total -565,871.13",a,,"LIF 2020 art.1: 532,266.1; 62,623.5; 0; 47,748.8; 547,140.8",cada cifra = LIF 2020 x 1.0342,si,,,Columna en pesos de 2021 sin declararlo; factor 1.0342 (deflactor CGPE 3.4). Cuarta declaración del contrafactual ausente.
V055,1 Deuda,Cuadro 2 (p.5),"Propuesto 2021: GF -699,125.7; Pemex -92,687.0; CFE 28,500.0; IMSS/ISSSTE 45,119.3; total -718,193.4",a,,ILIF art.1; DEC art.2 y 5,idénticos,si,,,
V056,1 Deuda,Cuadro 2 (p.5),% PIB 2020: -2.3 / -0.3 / 0.0 / 0.2 / -2.4; 2021: -2.8 / -0.4 / 0.1 / 0.2 / -2.9,b,,"CGPE p.37 (2020 con PIB revisado 23,094.2), p.49","532,266.1/23,094,200 = 2.30; 547,140.8/23,094,200 = 2.37; 2021: 2.80; 0.37; 0.11; 0.18; 2.87",si,,,2020 en pesos corrientes de 2020 sobre PIB revisado; coherente con CGPE p.37.
V057,1 Deuda,1.2-1.3 (p.6),Política 'responsable generacionalmente'; estabilizar la deuda depende del marco macro,c,,,,,,,Juicio.
V058,2 Egresos,2.1 (p.9),"PPEF 2021 6,295,736.2 mdp; -0.3% real vs aprobado; 25.2% PIB",a,,DEC art.2; EM p.160,idénticos,si,,,
V059,2 Egresos,2.1 (p.9),"Respecto del cierre esperado 2020, reducción de 1.3%",b,-1.3,CGPE p.111,gasto neto pagado +0.1% real vs estimado,no,-1.3 vs +0.1,contrafactual,Misma base no oficial que en el resumen.
V060,2 Egresos,2.1 (p.9),"Programable 4,618,338.9, +1.3% vs aprobado",a,,EM p.160; CGPE p.110,idénticos,si,,,
V061,2 Egresos,2.1 (p.9),Programable +0.3% considerando las modificaciones de 2020,b,0.3,"CGPE p.111 (programable devengado est. 4,510,984.7 -> 4,618,338.9)",-1.0% real,no,0.3 vs -1.0,contrafactual,
V062,2 Egresos,2.1 (p.9),No programable = 26.6% del PPEF; -4.6% real vs aprobado,a/b,26.6; -4.6,EM p.160-161,"1,677,397.3/6,295,736.2 = 26.6; -4.6",si,,,
V063,2 Egresos,2.1 (p.9),No programable -5.5% respecto del cierre esperado 2020,b,-5.5,"CGPE p.111 (1,571,236.1 -> 1,677,397.3)",+3.2% real,no,-5.5 vs +3.2,contrafactual,
V064,2 Egresos,2.1 (p.9),Participaciones -6.4% por menor RFP,a,-6.4,EM p.201; CGPE p.110,-6.4,si,,,
V065,2 Egresos,2.1 (p.9),"Espacio fiscal 2.0% PIB = 511,545.0 mdp (ingresos tributarios y no tributarios menos gastos comprometidos)",b,"511,545",ver resumen,,no_verificable,,,Derivación no reproducible; ver fila del resumen.
V066,2 Egresos,2.1 (p.9),83.7% del presupuesto propuesto son gastos obligatorios,b,83.7,aritmética con las cifras de CIEP,"1 - 511,545/6,295,736.2 = 91.9%; 1 - 511,545/3,737,179.8 (ingresos GF) = 86.3%",no_verificable,,,Ni contra el PPEF ni contra los ingresos del GF sale 83.7; la definición no está declarada.
V067,2 Egresos,2.2 (p.10),"Ejecutores con más de 1.5 pp del PIB: Pemex, CFE, IMSS, ISSSTE",b,,"EM p.169-183; PIB 24,983.9",2.2; 1.7; 3.6; 1.5,si,,,
V068,2 Egresos,2.2 (p.10),"Incrementos reales: SEP 0.2, Bienestar 1.2, Salud 9.1, Defensa 15.7",a,,EM p.174-178 (0.2; 1.3; 9.1; 15.7); AN (0.20; 1.25; 9.16; 15.77),coinciden; Bienestar 1.2 vs EM 1.3 por redondeo,si,,,
V069,2 Egresos,2.2 (p.10),"Reducciones >10% real: CNDH, SRE, SHCP, STPS, Presidencia",a,,EM; AN (-13.3; -10.0; -17.3; -20.3; -15.3),coinciden; INEGI -54.8 queda fuera por ser autónomo,si,,,
V070,2 Egresos,2.2 (p.10),"Transferencias, Asignaciones, Subsidios y Otras Ayudas = 27.5% del presupuesto total, +3.1% real",b,27.5; 3.1,"AN capítulo 4000: GF 1,640,800.7 (26.1% del neto; +3.6); GF+entidades 2,579,034.0 (40.2% del neto; +4.9)",26.1 / +3.6 o 40.2 / +4.9,no,27.5 vs 26.1; 3.1 vs 3.6,perimetro,Ningún perímetro del capítulo 4000 reproduce el par 27.5 / 3.1.
V071,2 Egresos,2.2 (p.10),Inversión pública (cap. 6000) +15.1% real; 6.8% del PPEF,b,15.1; 6.8,"AN capítulo 6000 GF+ent: 433,191.3","+15.1; 433,191.3/6,295,736.2 = 6.9",si,,,
V072,2 Egresos,2.2 (p.10),Materiales y Suministros -14.7%; 5.2% del total,b,-14.7; 5.2,"AN capítulo 2000 GF+ent: 333,292.1",-14.7; 5.3,si,,,
V073,2 Egresos,2.2 (p.10),Servicios Personales = 15% del total; +0.4%,b,15; 0.4,"AN capítulo 1000 GF+ent: 961,549.4 (15.3%; +0.5); EM p.184 clasificación económica consolidada: +0.7",15.3; +0.5,si,,,CIEP usa capítulo 1000 bruto; la EM consolidada da +0.7. Dos perímetros oficiales.
V074,2 Egresos,2.2 (p.10),"Funciones fortalecidas: Transporte +73.6, Coordinación de la Política de Gobierno +35.7, Seguridad Nacional +14.4, Comunicaciones +10.2",b,,AN función GF+ent,+73.7; +35.7; +14.4; +10.3,si,,,
V075,2 Egresos,2.2 (p.10),Funciones recortadas: Turismo -55.6; Otros Servicios Generales -43.4; Otros Asuntos Sociales -37.2; Asuntos Económicos -23.1,b,,AN función GF+ent,-55.6; -43.4; -37.1; -23.0,si,,,
V076,2 Egresos,2.2 (p.10),"Protección Social, Participaciones/Aportaciones/Transferencias y Combustibles y Energía concentran 53% del PPEF",b,53,"AN función: protección social 2,078,221.5 + participaciones 921,402.6 + C&E 1,218,449.8 = 4,218,073.9","67.0% del neto (GF+ent); 52.2% si protección social es solo GF (1,147,115.6) mezclando perímetros",no,53 vs 67,perimetro,Solo se reproduce mezclando protección social del GF con C&E de entidades.
V077,2 Egresos,Cuadro 3 (p.14),"Ramos autónomos 147,721.9 mdp, +3.2%, 0.6% PIB",a/b,"147,721.9; 3.2","EM p.169: ramos autónomos 137,089.2 (+11.3); AN: INEGI 7,746.1 + TFJA 2,886.6","137,089.2 + 7,746.1 + 2,886.6 = 147,721.9; var (vs 143,191.5) +3.2",no,"147,721.9 vs 137,089.2; +3.2 vs +11.3",perimetro,CIEP suma INEGI y TFJA a los autónomos sin decirlo; aritmética correcta bajo su perímetro.
