id,capitulo,seccion,afirmacion,tipo,valor_ciep,fuente_oficial,valor_oficial,coincide,discrepancia,nota
V011,Implicaciones,Espacio fiscal (p.IV),Superávit primario se reduce de 1% (2019) a 0.7% (2020),a,1.0 -> 0.7,"CGPE p.70, p.100",1.0 (aprob y estim 2019) -> 0.7,si,,
V012,Implicaciones,Espacio fiscal (p.IV),Sector público 23.2% del PIB en 2020; tendencia de reducción desde 2017,a/b,23.2%,"EM p.151 (devengado 23.2); CGPE p.177 (pagado: 26.6 en 2016, 23.7 en 2017, 23.3 2019)",23.2 devengado; 23.1 pagado,si,,La caída ocurre 2016->2017 (-2.9 pp); después estable 23.3-23.8.
V013,Resumen,Ingresos (p.VI),Ingresos presupuestarios ILIF 2020 = 21.0% PIB; -0.4 pp vs cierre 2019,a,21.0; -0.4,CGPE p.186,21.0; 2019 estim 21.4,si,,
V014,Resumen,Ingresos (p.VI),Tributarios 13.3% PIB; petroleros 3.8%,a,13.3; 3.8,CGPE p.185,13.3; 3.8,si,,
V015,Resumen,Ingresos (p.VI),Disminución en la recaudación del IVA respecto a 2019,a,(cualitativo),CGPE p.87 y p.177,IVA 2020 vs LIF 2019: -2.2% real (4.0->3.8% PIB); vs cierre 2019: +3.6% real (3.8->3.8),no,contrafactual,"Cierto solo contra aprobado 2019; falso contra cierre estimado 2019, que es el contrafactual que CIEP declara en p.4 y p.11."
V016,Resumen,Ingresos energía (p.VI),"CFE ingresos 1.6% PIB, -0.1 pp vs cierre 2019",b,1.6; -0.1,"ILIF art.1o. 418,398.1; CGPE p.177 CFE 1.7 (2019 est)","418,398.1/26,254,100=1.59; 2019 est 1.7 -> -0.1",si,,
V017,Resumen,Gasto (p.VII),Gasto PPEF 2020 = 6 billones 096 mil 336 pesos; 23.2% PIB; +0.8% real vs 2019,a,"6,096,336; 23.2; 0.8",DEC art.2; EM p.146-147,"6,096,335.8 mdp; 23.2% (devengado); +0.8% vs aprob 2019",si,,Unidad: 'pesos' debería ser 'millones de pesos'.
V018,Resumen,Gasto (p.VII),"Gasto programable se mantiene en 16.7% del PIB, misma proporción que 2019",a,16.7 = 16.7,CGPE p.185-186,2020 16.7; 2019 aprob 16.7; 2019 estim 16.9,si,,Contra aprobado. Contra cierre estimado sería -0.2 pp.
V019,Resumen,Salud (p.VII),656 mil 761 mdp; +2.1% vs PEF 2019; 2.5% PIB,a/b,"656,761; 2.1; 2.5","analíticos 2020 (IMSS 319,344.8; SSA 128,589.3; FASSA 103,371.5; ISSSTE 63,186.5; R19 20,467.6; Pemex 12,438.6; Sedena 6,678.6; Semar 2,684.3)","Suma 656,761.2; 2.50% PIB; base 2019 no en carpeta",aprox,,Perímetro reproducido exactamente. Variación 2.1% no verificable (PEF 2019 no en carpeta).
V020,Resumen,Salud (p.VII),Incremento para población sin seguridad social laboral = 0.43%,b,0.43%,CIEP cuadro 4.1 (SSA -151; FASSA +330; IMSS-Bienestar +864),"(−151+330+864)/(128,741+103,042+12,322)=1,043/244,105=0.43%",no_verificable,,Aritmética interna cierra; base 2019 no en carpeta.
V021,Resumen,Salud (p.VII),Se requeriría al menos un incremento de 66% (primer escenario),b,66%,"CIEP cuadro 4.5 (162,063 mdp)","162,063/244,105=66.4% (aritmética interna)",no_verificable,,"Modelo de costos CIEP (CAUSES, GRD IMSS) no reproducible con la carpeta."
V022,Resumen,Educación (p.VIII),807 mil 305 mdp; +0.5% real; primer incremento en cinco años,a/b,"807,305; 0.5","analítico función (función educación 784,615.3 + Ramo 11 en otras funciones 22,689.5)","807,304.8",si,,"Perímetro reproducido. +0.5% y 'primero en cinco años' no verificables (EM p.133: función educación 2015-2019 -10% acumulado, +1.9% en 2019)."
V023,Resumen,Educación (p.VIII),Recortes en 7 de 12 subfunciones; Desarrollo tecnológico -55%; Cultura -10.8%; Básica -1.4%,b,,"analítico función 2020 (SF1 básica 496,349.1)",2020 sí; 2019 no en carpeta,no_verificable,,
V024,Resumen,Gasto federalizado (p.VIII),32.3% del gasto neto; -0.5% vs PEF 2019; 7.5% PIB (2019: 7.7%),b,32.3; -0.5; 7.5; 7.7,EM p.188; CGPE p.69,"1,972,054.5/6,096,335.8=32.35%; -0.5% real; 7.51% PIB; 2019: 1,982,224.2/1.036/24,851,800=7.70%",si,,
V025,Resumen,Gasto federalizado (p.VIII),Ramo 28 -0.9%; ramo 33 -0.38%,a,-0.9; -0.38,EM p.188,-0.9%; -0.3%,si,,
V026,Resumen,Inversión (p.VIII),759 mil 868 mdp; +2.5% real; 2.9% PIB; 12.4% del gasto total,a/b,"759,868; 2.5; 2.9; 12.4",EM p.169; DEC,"759,868.2; +2.5%; 2.89%; 759,868.2/6,096,335.8=12.46%",si,,
V027,Resumen,Inversión (p.VIII),Punto más alto en 2016 con 5.9% del PIB,a,5.9 (2016),CGPE p.177 gasto de capital,2016: 5.9,si,,
V028,Resumen,Inversión (p.VIII),"Inversión pública -5% real, 383,882 -> 364,582 mdp",b,"364,582","analíticos cap.6000: GF 46,316.2+IMSS 2,247.0+ISSSTE 1,815.7+CFE 26,176.4+Pemex 288,027.5","364,582.8 (2020); 2019 no en carpeta",aprox,,"2020 reproducido exactamente; -5% no verificable. La inversión física oficial (EM p.169) es 634,441.7 (-5.4%), perímetro distinto."
V029,Resumen,Inversión (p.VIII),"Pemex, CFE y SCT concentran 94.6% de la inversión pública",b,94.6%,analíticos cap.6000,"(288,027.5+26,176.4+30,202.6)/364,582.8=94.5%",si,,
V030,Resumen,Energía (p.IX),Gasto en energía +5.8% real vs PEF 2019,b,5.8%,"analíticos función C&E 2020: GF 136,668.7+CFE 444,586.2+Pemex 636,364.8=1,217,619.7",2019 por este perímetro no en carpeta. EM p.190 (consolidado neto): +7.5%,no_verificable,,Perímetro CIEP es bruto; EM consolidado da +7.5%.
V031,Resumen,Energía (p.IX),SENER +68.9% vs aprobado 2019,a,68.9%,EM p.160 Ramo 18,+72.0% real,no,68.9 vs 72.0,"CIEP puede usar función C&E de SENER (47,637.0) en vez del ramo (48,507.3); base 2019 no en carpeta."
V032,Resumen,Energía (p.IX),"Ramo 23 energía +19.8%, por subsidios a tarifas eléctricas",b,19.8%,"analítico: R23 función C&E 88,573.7; subsidio tarifas 70,000.0",2020 sí; 2019 no en carpeta,no_verificable,,
V033,Resumen,Energía (p.IX),CRE -4.6% y CNH -4.5%,a,-4.6; -4.5,EM p.160,CRE -1.7%; CNH -1.3%,no,,CIEP probablemente usa solo la función C&E (CRE 245.4; CNH 212.6 de 252.9 y 219.8 totales).
V034,Resumen,Pensiones (p.IX),"965,202 mdp contributivas y 138,556 no contributivas",a/b,"965,202; 138,556","EM p.171; analítico R20 (126,650.3+11,905.9)","965,202.8; 138,556.2",si,,
V035,Resumen,Pensiones (p.IX),Total supera el billón por 103 mil mdp; 4.2% PIB; 0.4 pp más que IVA,b,"1,103,758; 4.2; 0.4","suma; 26,254.1 mmp (CGPE p.69); ILIF IVA 1,007,546.0 (3.84%)","1,103,759.0; 4.20%; 4.20-3.84=0.36 pp",si,,
V036,Resumen,Seguridad (p.X),284 mil 136 mdp; +7.9% real; 1.02% -> 1.08% PIB,a/b,"284,136; 7.9; 1.02->1.08","analítico función GF (suma de 15 subfunciones = 284,136.9)","284,136.9; 1.08% PIB; 2019 no en carpeta",aprox,,"Perímetro 2020 reproducido (subfunción 'Función pública' 4,415.3 no cierra exactamente: 2,969.1+1,332.0+108.9=4,410.0)."
V037,Resumen,Seguridad (p.X),"SSPC 59,150 mdp; 0.9% del gasto total; 0.2% PIB; SEGOB -90%",a/b,"59,150; 0.9; 0.2; -90",EM p.160; DEC Anexo 1,"59,150.7; 0.97%; 0.23%; Gobernación -20.8% (base resectorizada EM) / -90.8% con base CIEP 62,971",aprox,SEGOB: -20.8 oficial vs -90 CIEP,"La EM presenta 2019 ya resectorizado (7,329.6); CIEP usa el PEF 2019 original. Contrafactual no declarado."
V038,Resumen,Deuda (p.X),SHRFSP 45.6% PIB en 2020; aumenta en 2019 y 2020,a,45.6,CGPE p.100/120,45.6; 2018 44.9; 2019 45.3,si,,
V039,Resumen,Deuda (p.X),Balance primario 1% -> 0.7%; costo de la deuda 2.9% PIB; RFSP 2.6%,a,0.7; 2.9; 2.6,"CGPE p.71, p.73, p.185",0.7; costo financiero 2020 2.8% (2019 estim 2.9); RFSP 2.6,no,costo 2.9 vs 2.8,"2.9 es el cierre estimado 2019, no 2020."
V040,1 Ingresos,1.1 (p.3),"Ingresos totales ILIF 23.2% PIB, 2.2% deuda, 21.0% recaudación; cierre 2019 21.4%",b,23.2; 2.2; 21.0; 21.4,"ILIF art.1o.; 26,254.1 mmp (CGPE p.69); CGPE p.186","6,096,335.8/26,254,100=23.2; 584,456.8/=2.23; 21.0; 21.4",si,,
V041,1 Ingresos,1.2 (p.3),Máximo de recaudación en 2016: 24.1% PIB,a,24.1,CGPE p.177,24.1,si,,
V042,1 Ingresos,1.2 (p.3),ISR 30.3% del total; IVA 16.5%; petroleros 16.2%,b,30.3; 16.5; 16.2,ILIF art.1o.,"1,846,455.7/6,096,335.8=30.29; 1,007,546/=16.53; 987,332.7/=16.19",si,,Denominador incluye deuda.
V043,1 Ingresos,Cuadro 1.1 (p.4),"ISR 1,846,445.7",a,"1,846,445.7",ILIF art.1o.,"1,846,455.7",no,10 mdp,Errata de transcripción.
V044,1 Ingresos,Cuadro 1.1 (p.4),"IVA 1,007,546.0; IEPS petrolero 342,053.6; Pemex 574,535.0; FMP 412,797.7; CFE 418,398.1; Deuda 584,456.8; Total 6,096,335.8",a,,ILIF art.1o.,idénticos,si,,
V045,1 Ingresos,Cuadro 1.1 (p.4),"IEPS no petrolero 173,679.9; IMSS 400,923.4; Otros 335,499.6",b,,ILIF art.1o.,"515,733.5-342,053.6=173,679.9; 374,003.2+26,920.2=400,923.4; residuo 335,485.6 con ISR correcto (335,499.6 con el ISR erróneo)",si,,Rehecho.
V046,1 Ingresos,1.2.1 (p.4),Tributarios 13.3% PIB; +0.2 pp vs estimación SHCP 2019,a,13.3; +0.2,CGPE p.186,13.3; 2019 estim 13.1,si,,
V047,1 Ingresos,1.2.1 (p.4),-0.1 pp respecto a la estimación del CIEP para 2019,c,,,,,,Estimación propia de CIEP; no verificable.
V048,1 Ingresos,1.2.1 (p.4),ISR 7.0% PIB; IVA 3.8%; IEPS gasolinas 1.3%; resto 1.2%,b,7.0; 3.8; 1.3; 1.2,"ILIF art.1o.; 26,254.1 mmp (CGPE p.69)",7.03; 3.84; 1.30; 13.3-7.0-3.8-1.3=1.2,si,,
V049,1 Ingresos,1.2.1 (p.4),CGPE estima IVA 2019 cierre 3.9% PIB y 2020 3.8%,a,3.9 -> 3.8,CGPE p.177 (IVA: 2019 aprob 4.0; estim 3.8); p.87 (IVA +3.6% real vs cierre),cierre 2019 = 3.8; aprobado 2019 = 4.0; 2020 = 3.8,no,3.9 no aparece,3.9 es 2018 observado (p.177). Contra cierre 2019 el IVA no cae en % PIB.
V050,1 Ingresos,1.2.2 (p.5),Pemex propios 2.2% PIB; +0.1 pp vs cierre 2019,a,2.2; +0.1,CGPE p.177 (Pemex 2019 estim 1.9); ILIF,2.19; 2019 est 1.9 -> +0.3 pp,no,0.1 vs 0.3,
V051,1 Ingresos,1.2.2 (p.5),FMP 1.6% PIB; -0.2 pp vs lo esperado en 2018,a,1.6; -0.2 vs 2018,CGPE p.177 (GF petroleros 2018 2.3; 2019 est 1.8),1.57; vs 2018 -0.7 pp; vs 2019 est -0.2 pp,no,año de referencia,"-0.2 corresponde a vs cierre 2019, no 2018."
V052,1 Ingresos,1.2.2 (p.5),DUC pasa de 66.3% a 58.0%,a,66.3 -> 58.0,(decreto DUC no en carpeta; ILIF p.XXX menciona alivio a Pemex sin tasa),,no_verificable,,Haría falta el decreto de estímulo fiscal a Pemex (DOF).
V053,1 Ingresos,1.2.2 (p.5),IMSS + CFE = 3.1% PIB; cada uno -0.2 pp vs cierre 2019,b,3.1; -0.2 c/u,ILIF art.1o.; CGPE p.177 (ECD 1.7; CFE 1.7 en 2019 est),"(400,923.4+418,398.1)/26,254,100=3.12; IMSS solo 1.53 (ECD con ISSSTE 1.70 = 0.0 pp); CFE 1.59 (-0.1)",no,,Sumar IMSS sin ISSSTE contra la línea ECD del CGPE no es comparable.
V054,1 Ingresos,1.3 (p.6-11),"Medidas: establecimiento permanente, BEPS, deducción de intereses 30%, subcontratación, sector primario -30% ISR, ventas por catálogo, arrendamiento, economía digital (retención 50% IVA; umbral 300 mil), IEPS tabaco $0.4980, IEPS bebidas $1.2705, condonaciones, facturas apócrifas",a,,CGPE p.81-85 (7 medidas confirmadas). Miscelánea (LISR/LIVA/LIEPS/CFF) NO en carpeta,BEPS/intereses 30%/IEPS tabaco y bebidas/umbral 300 mil no están en CGPE ni ILIF,no_verificable,,Requiere la iniciativa de miscelánea fiscal 2020.
V055,1 Ingresos,1.3 (p.10),"IEPS tabaco actualizado: +~3 mil mdp, +8% precio, -4.7% consumo",b,"3,000; 8; -4.7",(modelo CIEP),,no_verificable,,Sin memoria de cálculo en el documento.
V056,1 Ingresos,1.4 (p.11),"Ingresos sin deuda 21.0% PIB: 13.3 tributarios, 3.8 petroleros, 3.9 no tributarios no petroleros",b,21.0; 13.3; 3.8; 3.9,CGPE p.185,21.0-13.3-3.8=3.9 (no tributarios GF 0.6 + organismos y empresas 3.3),si,,
V057,1 Ingresos,1.4 (p.11),Aumento de 0.2% del PIB respecto a lo que la SHCP estima que cierre 2019,a,+0.2 pp,CGPE p.186,21.4 -> 21.0 = -0.4 pp,no,signo y magnitud,Contradice p.VI y p.3 (-0.4). El +0.2 corresponde a tributarios.
V058,1 Ingresos,1.4 (p.11),"IVA cierra 2020 en 3.8% PIB, menor que el esperado para cierre 2019",a,3.8 < cierre 2019,CGPE p.177/p.87,cierre 2019 3.8; 2020 3.8 (+3.6% real),no,,Ver fila 1.2.1.
V059,1 Ingresos,1.4 (p.11),Necesidad de reforma fiscal integral; impuestos ambientales; capacidad recaudatoria local,c,,,,,,Juicio.
V060,2 Ingresos energía,Cuadro 2.1 (p.13),"Pemex 574,535.0; CFE 418,398.1; FMP 412,797.7; EPE 992,933.1; petroleros 987,332.7; sector energético 1,405,730.8",a/b,,ILIF art.1o.,"idénticos; 574,535.0+418,398.1=992,933.1; 987,332.7+418,398.1=1,405,730.8",si,,
V061,2 Ingresos energía,Cuadro 2.1 (p.13),Pemex +20.3% real vs estimado cierre 2019,a,20.3,"CGPE p.86 (484.0 -> 574.5, pesos 2020)",+18.7% real,no,20.3 vs 18.7,Con deflactor 3.0 en vez de 3.6 sale ~19.4; tampoco 20.3.
V062,2 Ingresos energía,Cuadro 2.1 (p.13),CFE -3.5% real vs estimado 2019,a,-3.5,CGPE p.87 (organismos y empresas +0.3% vs cierre; CFE no desagregada),no desagregado en carpeta,no_verificable,,
V063,2 Ingresos energía,Cuadro 2.1 (p.13),FMP -17.7% real vs estimado 2019,a,-17.7,"CGPE p.86 (GF petroleros 461.1 -> 412.8, pesos 2020)",-10.5% real (vs estim); -23.4% (vs LIF 2019),no,-17.7 vs -10.5,
V064,2 Ingresos energía,Cuadro 2.1 (p.13),Ingresos petroleros +0.8% real vs estimado 2019,a,0.8,CGPE p.86,+4.5% real (vs estim); -8.8% (vs LIF),no,0.8 vs 4.5,
V065,2 Ingresos energía,Cuadro 2.1 (p.13),Sector energético -0.5% real vs estimado 2019,b,-0.5,CGPE p.86-87,no reproducible; depende de dos tasas discrepantes,no,,
V066,2 Ingresos energía,Cuadro 2.1 (p.13),% del PIB: 2.2/1.6/1.6/3.8/3.8/5.4; % de ILIF: 9.4/6.9/6.8/16.3/16.2/23.1,b,,"ILIF; 26,254.1 mmp (CGPE p.69)",2.19/1.59/1.57/3.78/3.76/5.35; 9.42/6.86/6.77/16.29/16.20/23.06,si,,
V067,2 Ingresos energía,2.1 (p.14),"Para que el FMP abone a la reserva harían falta 773,468.5 mdp adicionales; 1.9 veces la renta petrolera",b,"773,468.5; 1.9x","LFPRH (umbral 4.7% PIB, no en carpeta); 26,254.1 mmp (CGPE p.69)","4.7%*26,254,100-412,797.7=821,145 mdp; 773,468.5/412,797.7=1.87",no_verificable,,"Con umbral 4.7% da 821,145, no 773,468.5. El cociente 1.9x cierra con la cifra de CIEP."
V068,2 Ingresos energía,2.1 (p.14),Renta petrolera destina 95.6% al PEF,a,95.6,LFPRH Título V (no en carpeta),,no_verificable,,
V069,2 Ingresos energía,2.1 (p.15),MME 55 dpb cierre 2019; 49 dpb 2020,a,55; 49,CGPE p.69,55; 49,si,,
V070,2 Ingresos energía,2.1 (p.15),DUC = 80.1% de transferencias FMP en 2018; pasa de 66.25% a 58% (2020) y 54% (2021),a,,(Cuenta Pública 2018 y decreto DUC no en carpeta),,no_verificable,,
V071,2 Ingresos energía,2.2 (p.15),"Pérdidas por cierre de ductos 2,240.3 mdp",a,"2,240.3",(informes Pemex no en carpeta),,no_verificable,,
V072,2 Ingresos energía,2.2 (p.15-16),Pemex propios +20.3% real; de 8.4% (2019) a 9.4% de los ingresos presupuestarios,b,20.3; 8.4 -> 9.4,CGPE p.86; ILIF,+18.7%; 9.42% en 2020; LIF 2019 nominal no en carpeta,no,,9.4 verificado; 8.4 y 20.3 no.
V073,2 Ingresos energía,2.3 (p.16),CFE 90% ingresos de venta de electricidad; 66.9% del parque usa gas; Henry Hub 2.4 (2020) vs 2.3 (2019),a,2.4; 2.3,CGPE p.69 (gas natural 2.3 -> 2.4),2.3 -> 2.4,si,,90% y 66.9% son fuentes externas (SENER).
V074,3 Gasto,3.1 (p.19),Gasto PPEF 2020 = 6 billones 069 mil 335.8 pesos,a,"6,069,335.8",DEC art.2,"6,096,335.8",no,errata (069 vs 096),Correcto en p.VII.
V075,3 Gasto,3.1 (p.19),23.2% PIB; +0.8% real vs PEF 2019; +0.35% vs ejercido 2018,a,23.2; 0.8; 0.35,EM p.146-147; (Cuenta Pública 2018 no en carpeta),23.2; +0.8%; ejercido 2018 no verificable,aprox,,
V076,3 Gasto,3.2 (p.19),Máximo del gasto total en 2016: 26.7% PIB,a,26.7,CGPE p.177 (gasto neto pagado 2016),26.6,no,0.1 pp,Devengado 2016 sería 26.8 (26.6+0.2 diferimiento); no 26.7.
V077,3 Gasto,3.2.1 (p.19-20),No programable = 6.5% del gasto total; -0.3 vs PEF 2019,b,6.5% del gasto total,EM p.147; CGPE p.185,"1,701,144.4/6,096,335.8=27.9% del gasto; 6.5% es % del PIB (2019 aprob 6.8)",no,unidad,Error de unidad: 6.5 es % del PIB.
V078,3 Gasto,3.2.1 (p.20),90% del no programable es GF y 10% EPE,b,90/10,DEC Anexo 1; EM p.148,"EPE 145,694.5/1,701,144.4=8.6%; GF 91.4%",aprox,,
V079,3 Gasto,3.2.1 (p.20),"Programable 16.7% PIB: Desarrollo económico 4.9, social 10.3, gobierno 1.5",b,4.9; 10.3; 1.5,"EM p.189-190 (consolidado): DE 1,195.2 (4.6%); DS 2,797.3 (10.7%); Gobierno 251.4 (1.0%); autónomos+INEGI+TFJA 139.6 (0.5%). Analíticos brutos: Gobierno 396.3 (1.5%)","1.5 reproducible solo como bruto (394,865.4+1,446.2=396,311.6); DS 10.3 no reproducible (GF bruto 2,346.7=8.9%; +ISSSTE 2,695.7=10.3%); DE 4.9 = residuo 16.7-10.3-1.5",no,perímetros mezclados,La suma 16.7 es el programable consolidado neto; los sumandos son brutos y de perímetro no declarado.
V080,3 Gasto,3.2.2 (p.20),Todas las funciones principales (>1% PIB) se reducen como % PIB salvo Protección social y Combustibles y energía,b,,EM p.189-190 y CGPE p.69,Salud 634.4 mmp crece 2.6% real > PIB 2.0%: sube como % PIB; Educación +0.6%: baja; Vivienda baja,no,Salud,
V081,3 Gasto,3.2.2 (p.20-21),"Desarrollo económico +0.1% o 948.1 mdp; Combustibles y Energía +5.8% (66,837 mdp); Otras industrias +33.1% (3,224.7)",a,"948.1; 66,837; 3,224.7",EM p.190,"DE +3,288.2 (+0.3%); C&E +69,314.5 (+7.5%); Otras industrias +3,227.7",no,DE y C&E,Otras industrias coincide. CIEP usa 2019 propio y perímetro bruto.
V082,3 Gasto,3.2.2 (p.21),"Recortes en 7 funciones de DE sumaron 69,113.8 mdp; Transporte -28,483.4 (-35.7%)",b,"69,113.8; 28,483.4",EM p.190,"Suma de negativas: 18,246.3+15,744.7+1,078.2+1,584.8+90.5+28,472.3+4,037.2=69,254.0; Transporte -28,472.3 (-35.8%)",aprox,140 mdp,
V083,3 Gasto,3.2.2 (p.21),"Desarrollo social +73,661.9 mdp (+2.7%)",a,"73,661.9; 2.7",EM p.190,"+75,414.1 (+2.8%)",aprox,"1,752 mdp",Diferencia atribuible a la base 2019 de CIEP (~0.03%).
V084,3 Gasto,3.2.2 (p.21),"Protección social = 40% de DS, 19% del PPEF, 4.3% PIB",b,40; 19; 4.3,"EM p.190; 26,254.1 mmp (CGPE p.69)","1,141,458.7/2,797,318.6=40.8%; /6,096,335.8=18.7%; /26,254,100=4.35%",si,,
V085,3 Gasto,3.2.2 (p.21),"Protección ambiental -25% (-4,531.6); Vivienda -9,668.8 (-3.9%)",a,,EM p.190,"-25.5% (-4,531.7); -9,596.3 (-3.9%)",aprox,vivienda 72 mdp,
V086,3 Gasto,3.2.2 (p.22),"Gobierno 396,311.5 mdp; +40,665.5 (+11.4%); Justicia 118,145.3 (+7.5%); Seguridad Nacional 115,149.1 (+13.7%); Coordinación +17,250.1",b,,"analíticos brutos 2020: Gobierno 394,865.4 (GF)+1,446.2 (entidades)=396,311.6; Justicia 118,145.4; Seg. Nac. 115,149.2; Coordinación 26,045.3 (incluye INE 17,732.4 en SF6)",2020 reproducidos exactamente; variaciones no verificables,aprox,,"El +17,250.1 en Coordinación coincide con el INE (17,732.4) que en el cuadro 3.3 de CIEP tiene 2019 = '-': el incremento es artefacto de base 2019 incompleta."
V087,3 Gasto,3.2.3 (p.22),"Deuda pública (costo financiero) -41,695.2 mdp (-5.2%)",a,"41,695.2; -5.2",EM p.148,"-42,934.5 (-5.5%)",aprox,"1,239 mdp",
V088,3 Gasto,3.2.3 (p.22),"Inversión pública -5%: 383,861.8 -> 364,582.7",a/b,"364,582.7",analíticos cap.6000,"364,582.8 (2020); 2019 no en carpeta",aprox,,"p.VIII dice 383,882 y p.22 dice 383,861.8 para 2019: inconsistencia interna de 20 mdp."
V089,3 Gasto,3.2.3 (p.22),"Participaciones y aportaciones caen por primera vez desde 2013: -11,649.8 (-0.7%), 1,727,682.0 -> 1,716,032.2",b,"1,716,032.2",analítico GF cap.8000,"1,716,032.2 (2020) exacto; EM p.188: R28+R33 2019a 1,714,662.4 -> 2020 1,703,654.5 (-0.6%); serie 2013-2019 no en carpeta",aprox,,
V090,3 Gasto,3.2.3 (p.22),"Subsidios: mayor incremento real, +38,108.9 mdp",a,"+38,108.9","EM p.169 (subsidios corrientes -32,773.2, -5.9%; subsidios de inversión -2,081.1)",subsidios (clasificación económica) caen,no,signo,"CIEP usa capítulo 4000 (2,365,885.6 bruto en 2020) que incluye transferencias y pensiones; no es 'subsidios'."
V091,3 Gasto,3.2.3 (p.22),"Inversiones financieras +59.3% (+37,413.4)",a,"59.3; 37,413.4",EM p.170,"+119.5% (+56,837.4)",no,,"Perímetro cap. 7000 (100,502.7 bruto) vs inversión financiera EM (104,405.0)."
V092,3 Gasto,3.2.4 (p.23),16 de 27 ramos administrativos con recortes,b,16/27,EM p.160,16 negativos de 26 ramos listados (CIEP cuenta la PGR extinta como 27),si,,
V093,3 Gasto,3.2.4 (p.23),"Agricultura -31.8% (-21,537.3); STPS -35.8% (-16,070.3); SCT -21.1% (-14,576.2)",a,,EM p.160,"-31.8% (-21,517.1); -35.8% (-16,056.9); -21.1% (-14,555.6)",aprox,~20 mdp c/u,Diferencias de deflactor (~0.1%).
V094,3 Gasto,3.2.4 (p.23),"Gobernación -57,166.7; SSPC inicia con 59,150.6",a,,EM p.160; DEC Anexo 1,"Gobernación 2019a resectorizado 7,329.6 -> 5,804.5 (-1,525.1); SSPC 59,150.7",aprox,base,Ver fila SEGOB -90%.
V095,3 Gasto,3.2.4 (p.23),"PGR -100% (libera 15,903.7); FGR inicia con 18,202.1",a,,"EM p.155 (FGR 2019a 15,899.0 -> 18,202.2)","La EM ya reclasifica la PGR como FGR en 2019; FGR 2020 18,202.2",aprox,,
