id,capitulo,seccion,afirmacion,tipo,tier_seccion,valor_ciep,fuente_oficial,valor_oficial,coincide,discrepancia,tipo_error,contrafactual_explicito,nota
V011,Frente del documento,"Presentación (p. vi), cuadro macro","2023 aprobado: crecimiento 3.0, inflación 4.7, tasa nominal 8.9, mezcla 68.7, tipo de cambio 20.6",b,restitucion,3.0 / 4.7 / 8.9 / 68.7 / 20.6,CGPE 2023 (columna aprobado en CGPE 2024 p. 118),3.0 / 4.7 promedio (3.2 dic-dic) / 8.9 promedio / 68.7 / 20.6,si,,,na,"Inflación es el promedio anual, no dic/dic."
V012,Frente del documento,"Presentación (p. vi), cuadro macro",2023 estimado: crecimiento de 2.5 a 3.0,b,restitucion,2.5 a 3.0,CGPE 2024 p. 118 y cuadros de finanzas públicas,"Rango [2.5, 3.5] para 2023 estimado y para 2024; puntual 3.0",no,0.5 pp en el límite superior,transcripcion,na,"El CGPE 2024 da [2.5, 3.5] en los cinco cuadros donde aparece. El rango [1.2, 3.0] es el de la aprobación de 2023, no el estimado."
V013,Frente del documento,"Presentación (p. vi), cuadro macro","2023 estimado: inflación 5.7, tasa 11.2, mezcla 67.0, tipo de cambio 17.5",b,restitucion,5.7 / 11.2 / 67.0 / 17.5,CGPE 2024 p. 118,5.7 promedio / 11.2 promedio / 67.0 / 17.5 promedio,si,,,na,
V014,Frente del documento,"Presentación (p. vi), cuadro macro","2024: crecimiento 2.6, inflación 4.5, tasa 10.3, mezcla 56.7, tipo de cambio 17.1",b,restitucion,2.6 / 4.5 / 10.3 / 56.7 / 17.1,"CGPE 2024 p. 118, 121",Coinciden los cinco,si,,,na,
V015,Frente del documento,Presentación (p. vii),No se presentó una miscelánea fiscal y los principales cambios se concentran en la Ley Federal de Derechos,b,restitucion,sin miscelánea,ILIF 2024; paquete en carpeta,No hay iniciativa de reformas fiscales en el paquete 2024; la ILIF remite al documento de renuncias recaudatorias,si,,,na,Confirmado por inventario §2.
V016,Frente del documento,Presentación (p. vii),"Con gasto y endeudamiento públicos en niveles máximos históricos, deja de ser equilibrado y austero",c,juicio,,,,no_verificable,,,na,Juicio normativo; el nivel máximo histórico requiere serie que no está en carpeta.
V017,Frente del documento,Resumen ejecutivo (p. viii),"Endeudamiento récord de 5.4 % del PIB, equivalente a requerimientos de 14,033 pesos por persona",b,restitucion,"5.4 %; 14,033","CGPE 2024 p. 9, 119","RFSP 1,864,872.3 mdp; 5.4 % del PIB de 34,374.5 = 1,856,223 mdp",si,,,no,"Población implícita 132.3 millones (1,856,223/14,033), no declarada. En el documento de 2023 el denominador implícito fue 131.2 millones: la serie es consistente pero el denominador nunca se enuncia."
V018,Frente del documento,Resumen ejecutivo (p. viii),"Para terminar con un saldo de 126,818 pesos por persona",b,restitucion,"126,818",CGPE 2024 p. 119,"SHRFSP 2024 16,787,906.1 mdp; /126,818 = 132.4 millones de personas",si,,,no,Mismo denominador implícito que V017 dentro del redondeo. Ninguna cifra per cápita del documento declara su población.
V019,Frente del documento,Resumen ejecutivo (p. viii),La caída del indicador de deuda de 49.4 % a 48.8 % del PIB en 2023 no se debe a menor saldo sino al cambio de año base; con el mismo PIB pasaría de 48.5 % a 48.8 %,b,restitucion,49.4 / 48.8 / 48.5,CGPE 2024 p. 119 y nota de cambio de base 2013 → 2018,SHRFSP 2023 aprobado 49.4 % con PIB base 2013 y 48.5 % con base 2018; 2024 48.8 %,si,,,si,"Contrafactual explícito y correcto. Es el mejor tratamiento de vintage del documento y contrasta con V026, donde el mismo cambio de base no se aplica a la serie educativa."
V020,Frente del documento,Resumen ejecutivo (p. viii),El costo financiero de la deuda ascendería a 1.3 billones de pesos o 3.7 % del PIB,b,restitucion,1.3 billones; 3.7 %,"CGPE 2024 p. 117, 119","Costo financiero 1,264,000 mdp; /34,374.5 = 3.68 %",si,,,na,
V021,Frente del documento,Resumen ejecutivo (p. viii),Este monto es mayor en 11.8 % a lo aprobado para 2022,b,restitucion,11.8 % vs 2022,CGPE 2024 p. 117,"+11.8 % real corresponde a la comparación contra el PEF 2023 (1,130.8 → 1,264.0 mmp de 2024), no contra 2022",no,año de la base,transcripcion,si,La tasa es correcta; el año de la base está mal escrito. El capítulo 2 y el 13 comparan contra 2023.
V022,Frente del documento,Resumen ejecutivo (p. viii),El costo de la deuda del Gobierno Federal crecería 16.1 % y la de las EPE disminuiría 7.4 %,b,restitucion,16.1 / −7.4,CGPE 2024; desglose GF/EPE del costo financiero,,no_verificable,,,no,"El desglose GF/EPE del costo financiero no se reconstruyó en esta corrida, centrada en educación. El capítulo 13 da Pemex −7.6 % y CFE −6.4 %, cifras que no promedian −7.4 % sin ponderadores."
V023,Frente del documento,Resumen ejecutivo (p. ix),"El presupuesto para educación suma un billón 96 mil 544 mdp, con un incremento de 2.7 % y 29 mil 81 mdp más que en 2023",b,restitucion,"1,096,544; +2.7 %; +29,081","Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto)","Perímetro CIEP reconstruido para el proyecto: 1,096,543.8 mdp. Base 2023: 1,018,571.4 nominales; x 1.0480 = 1,067,462.8; diferencia 29,081.0; tasa +2.72 %",si,,,no,"Reconstruye al mdp. Pero los 29,081 son la variación REAL en pesos de 2024: la diferencia nominal es +77,972.4 mdp. El texto dice mayor al de 2023 sin decir en términos reales. Es el patrón dominante del capítulo. PEF aprobado, no proyecto."
V024,Frente del documento,Resumen ejecutivo (p. ix),El monto equivale a 3.19 % del PIB,b,restitucion,3.19,"CGPE 2024 p. 118 (PIB 34,374.5 mmp)","1,096,543.8 / 34,374,500 = 3.190 %",si,,,na,
V025,Frente del documento,Resumen ejecutivo (p. ix),El monto equivale a 12.1 % del gasto neto total,b,restitucion,12.1,"DEC 2024 art. 2 (gasto neto 9,066,045.8)","1,096,543.8 / 9,066,045.8 = 12.10 %",si,,,na,Coincide con el 12.10 rotulado en la Figura 8.1.
V026,Frente del documento,Resumen ejecutivo (p. ix) y Cap. 8 (p. 44),El monto como proporción del PIB y del gasto neto total alcanza mínimos,b,restitucion,mínimos en ambos,"Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto); CGPE 2024 p. 118-119","Gasto neto: 12.10 % en 2024 contra 12.27 % en 2023, mínimo de la serie de la Figura 8.1 ✓. PIB: 2024 1,096,543.8/34,374.5 = 3.190 %; 2023 1,018,571.4/31,963.0 = 3.187 % con el PIB rebasado. 2024 NO es el mínimo",no,0.003 pp; el orden se invierte,objeto,no,"Solo se sostiene si el punto de 2023 se deja en el PIB base 2013 (3.24 %, que es lo que el propio CIEP publicó en 2023) y el de 2024 se calcula con el PIB base 2018. Es exactamente el cambio de vintage que el capítulo de deuda sí corrige (V019). Con base homogénea la serie está plana, no en mínimo."
V027,Frente del documento,Resumen ejecutivo (p. ix),"El 85.5 % del aumento se concentra en pago de nómina, previsiones salariales, apoyo administrativo y la provisión de servicios de EB en la CDMX",b,restitucion,85.5,"Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto)","18,205.5 + 3,339.9 + 1,385 + 1,925.5 = 24,855.9; /29,081 = 85.5 %",si,,,no,"Aritméticamente consistente con las cifras del propio documento. Los cuatro sumandos son variaciones reales en pesos de 2024. PEF aprobado, no proyecto."
V028,Frente del documento,Resumen ejecutivo (p. ix),"El gasto por estudiante en EB alcanza su nivel más alto, $29,545 pesos",b,restitucion,"29,545",Figura 8.2 del propio documento,"Máximo de la serie 2016-2024 de la Figura 8.2 (2016: 28,482)",si,,,no,"Denominador no declarado; implícito 21.577 millones (637,503/29,545). Ver V067."
V029,Frente del documento,Resumen ejecutivo (p. ix),El gasto por estudiante en EMS y ES se ubica por debajo de lo ejercido en 2016,b,restitucion,EMS y ES < 2016,Figura 8.2 del propio documento,"EMS 34,303 < 35,693; ES 60,257 < 73,513",si,,,si,Consistente con la lámina.
V030,Frente del documento,Resumen ejecutivo (p. ix),Se mantiene una brecha presupuestaria de 0.81 puntos del PIB respecto a la recomendación internacional de destinar entre 4 y 6 % del PIB,b,juicio,0.81 pp,BID (externa); aritmética propia,4.00 − 3.19 = 0.81,si,,,si,"La aritmética cierra, pero la brecha se mide contra el límite INFERIOR de un rango de 4 a 6 % y con el perímetro propio de CIEP (que incluye CONAHCYT y Cultura). Contra el límite superior la brecha sería 2.81 pp; con la función Educación estricta (3.00 % del PIB) sería 1.00 pp."
V031,Frente del documento,Resumen ejecutivo (p. ix),"El presupuesto del sector salud aumenta 5.9 % real, 55 mil 267 mdp, y equivale a 2.9 % del PIB",b,restitucion,"+5.9 %; 55,267; 2.9 %",Capítulo 9 del documento; CGPE 2024,,no_verificable,,,no,"Fuera del alcance de esta corrida (capítulo propio de educación). Consistencia interna: 990,974/34,374.5 = 2.88 %, compatible con el 2.9 % declarado. El resumen dice 55,267 y el capítulo 9 dice 55,268."
V032,Frente del documento,Resumen ejecutivo (p. x),"Se prevén 44 mil 870 mdp para cuidados, 0.7 % del gasto programable",b,restitucion,"44,870; 0.7 %","CGPE 2024 p. 117 (programable 6,490.4 mmp)","44,870 / 6,490,400 = 0.69 %",si,,,na,Perímetro de cuidados es construcción de CIEP; solo se verifica la razón.
V033,Cap. 8 Gasto en educación,Encabezado (p. 44),El presupuesto para educación suma 1 billón 96 mil 544 mdp,b,restitucion,"1,096,544","Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto)","1,096,543.8 mdp reconstruidos con el perímetro de la nota 10",si,,,na,"Reconstrucción exacta. PEF aprobado, no proyecto. El aprobado con el mismo perímetro es 1,109,716.7 (Cámara: +13,262.4 en el Ramo 11, −89.8 en FAM infraestructura educativa)."
V034,Cap. 8 Gasto en educación,Nota al pie 10 (p. 44),"El perímetro incluye el presupuesto total del Ramo 11, más Ramo 38 CONAHCYT, más Ramo 48 Cultura, más el resto de la función Educación",b,restitucion,R11 + R38 + R48 + resto de la función,"Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto)","Proyecto: R11 425,755.5 + R38 33,170.7 + R48 16,754.9 + función Educación fuera del Ramo 11 620,862.9 = 1,096,543.8",si,,,na,"El perímetro está declarado y los componentes son recuperables: pasa la prueba de divulgación de §2.5, es perimetro y no objeto. Difiere del perímetro oficial: la función Educación del Gobierno Federal bruta vale 1,032,621.4 (aprobado) y 1,019,448.8 (proyecto). CIEP suma 77 mmp de CTI y cultura que no son función Educación y omite nada de ella."
V035,Cap. 8 Gasto en educación,Encabezado (p. 44),"Este es el segundo nivel más alto, solo detrás del presupuesto de 2016",b,restitucion,2º desde 2016,Serie 2016-2024 del perímetro CIEP,,no_verificable,,,no,"Requiere Cuentas Públicas 2016-2022, no están en carpeta (condicionante de la sección cero)."
V036,Cap. 8 Gasto en educación,Encabezado (p. 44),Este presupuesto es 29 mil 81 mdp mayor al de 2023,b,restitucion,"+29,081","Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto)","Variación real en pesos de 2024: +29,081.0 ✓. Variación nominal: +77,972.4",si,,,no,"La cifra es correcta como variación real y falsa como diferencia de niveles. El texto no dice cuál es. Patrón repetido en V062, V063, V074, V083 y V102."
V037,Cap. 8 Gasto en educación,Encabezado (p. 44),El incremento se centra en previsiones salariales y en el pago de nómina,b,restitucion,previsiones y nómina,"Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto)","FONE servicios personales +18,205.5 y previsiones salariales del FONE (Ramo 25) +3,339.9 en términos reales: 21,545.4 de 29,081 = 74.1 %",si,,,no,
V038,Cap. 8 Gasto en educación,Nota al pie 11 (p. 44),En 2023 se aprobaron 22 mil 297 mdp para Previsiones salariales y económicas del FONE,b,restitucion,"22,297","Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto); DEC 2023 Anexo 1","Ramo 25, PP 002 Previsiones salariales y económicas del FONE, PEF 2023 aprobado: 21,275.7 mdp",no,"1,021.4 mdp",deflactor,na,"22,297 es 21,275.7 x 1.048, es decir la cifra de 2023 deflactada a pesos de 2024, presentada como el monto que se aprobó. Lo que la Cámara aprobó fueron 21,275.7 mdp corrientes. Es el mismo hábito de V036 aplicado a un hecho legal, donde no cabe."
V039,Cap. 8 Gasto en educación,Nota al pie 11 (p. 44),Esos recursos no se han ejercido al menos al primer semestre de 2023,b,restitucion,no ejercidos,Informes trimestrales SHCP (no en carpeta),,no_verificable,,,na,Fuente ex post fuera de la carpeta.
V040,Cap. 8 Gasto en educación,Encabezado (p. 44),Resalta el aumento de 1 mil 385 mdp para Actividades de apoyo administrativo,b,restitucion,"1,385","Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto); nota al pie 15 del propio documento","Ramo 25 PP 001: +890.0 real; Ramo 11 M001: +470.9 real. Suma 1,360.9. Todos los ramos: −164.4 real",no,"24 mdp contra su propia nota; 1,549 contra el agregado del GF",transcripcion,no,"Contradicción interna: la nota al pie 15 desglosa 890 + 471 = 1,361, no 1,385. Y en el Gobierno Federal completo el programa CAE 164 mdp en términos reales; el aumento solo existe en los dos ramos educativos."
V041,Cap. 8 Gasto en educación,Nota al pie 15 (p. 47),El aumento de apoyo administrativo es de 890 mdp en el Ramo 25,b,restitucion,890,"Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto)","Ramo 25 PP 001 Actividades de apoyo administrativo: 4,110.7 → 5,198.0; real +890.0",si,,,no,"Variación real. PEF aprobado, no proyecto."
V042,Cap. 8 Gasto en educación,Nota al pie 15 (p. 47),El aumento de apoyo administrativo es de 471 mdp en la SEP,b,restitucion,471,"Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto)","Ramo 11 M001: 5,965.3 → 6,722.5; real +470.9",si,,,no,"Variación real. PEF aprobado, no proyecto."
V043,Cap. 8 Gasto en educación,Encabezado (p. 44),"Becas Universales, La Escuela es Nuestra y Universidades para el Bienestar no presentan variación real",b,restitucion,0.0 % real,"Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto); DEC 2024 Anexo 18","S311 Beca EMS 37,554.3 → 39,366.6 (0.0 %); S282 La Escuela es Nuestra 27,052.9 → 28,358.3 (0.0 %); U083 Universidades para el Bienestar 1,476.4 → 1,547.6 (0.0 %); S072 Becas EB proyecto 34,922.1 → 36,607.4 (+0.02 %)",si,,,si,"Contrafactual explícito y correcto. Es el hallazgo más sólido del capítulo: catorce de los veinte programas mayores del Ramo 11 crecen exactamente 4.8 % nominal, que es el deflactor. Advertencia de objeto: en el PEF APROBADO S072 crece +36.3 % real (49,869.8) porque la Cámara le sumó 13,262.4 mdp; la afirmación es cierta del proyecto y falsa del presupuesto vigente."
V044,Cap. 8 Gasto en educación,8.1 (p. 44),"Desde 2019 la educación no es la principal prioridad presupuestaria: está detrás de las pensiones, que concentran 21.9 % del gasto neto total",b,restitucion,21.9,"Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto); CGPE 2024 p. 117","Pensiones y jubilaciones por clasificación económica 1,499.0 mmp = 16.5 % del gasto neto. Con el perímetro amplio de CIEP (contributivas + PAM + PPD) 1,991.9 mmp = 21.97 %",aprox,0.1 pp,,no,"El 21.9 % solo se obtiene con el perímetro amplio de pensiones, que el capítulo 8 no declara. El capítulo 13 sí lo declara implícitamente al decir 5.8 % del PIB (= 1,993.7 mmp). Dos capítulos, un perímetro, una sola declaración."
V045,Cap. 8 Gasto en educación,8.1 (p. 44),"Con excepción de EMS, todas las subfunciones están por debajo de los niveles de 2016 a 2021",b,restitucion,todas salvo EMS,Serie 2016-2021 por subfunción,,no_verificable,,,no,Requiere Cuentas Públicas 2016-2021.
V046,Cap. 8 Gasto en educación,8.1 (p. 44),Cultura y CONAHCYT están 2 mil 384 y 5 mil 15 mdp por debajo de 2017,b,restitucion,"−2,384 / −5,015",PEF 2017 (no en carpeta),,no_verificable,,,no,Base de 2017 fuera de la carpeta.
V047,Cap. 8 Gasto en educación,8.1 (p. 44),El monto de la SEP ascendería a 425 mil 756 mdp,b,restitucion,"425,756","DEC 2024 Anexo 1; CGPE 2024 p. 61, 117","Ramo 11, proyecto: 425,755.5 mdp",si,,,na,"Cifra del proyecto. El Ramo 11 aprobado es 439,017.9."
V048,Cap. 8 Gasto en educación,8.1 (p. 44),Esto es solamente 1 % por arriba del PEF 2023,b,restitucion,+1 %,CGPE 2024 p. 117,"421,548.2 (PEF 2023 en pesos de 2024) → 425,755.5: +1.0 % real",si,,,si,Contrafactual explícito. Con el aprobado la variación es +4.1 %.
V049,Cap. 8 Gasto en educación,Figura 8.1 (p. 44),"Serie de proporción del gasto neto total: 14.37, 14.68, 14.23, 14.27, 14.29, 13.54, 12.54, 12.27, 12.10 para 2016-2024",b,restitucion,12.27 (2023); 12.10 (2024),"Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto); DEC 2023 y 2024 art. 2","2023: 1,018,571.4 / 8,299,647.8 = 12.27 % ✓. 2024: 1,096,543.8 / 9,066,045.8 = 12.10 % ✓",si,,,na,Los dos puntos verificables de la serie coinciden al centésimo. 2016-2022 no verificables (Cuentas Públicas).
V050,Cap. 8 Gasto en educación,"Figura 8.1, Nota 1 (p. 44)",En 2020 el gasto educativo alcanzó 3.55 puntos del PIB como resultado de la contracción de 8.1 % del PIB,b,restitucion,3.55; −8.1 %,Cuenta Pública 2020 (no en carpeta),,no_verificable,,,si,Contrafactual explícito y bien planteado: declara el mecanismo del denominador. Es el único punto del capítulo donde se explica un movimiento de razón a PIB.
V051,Cap. 8 Gasto en educación,Recuadro (p. 45),"Cuatro PPs relacionadas con pago de nómina, incrementos salariales, apoyo administrativo y servicios de EB en la CDMX concentran 85.5 % del aumento respecto a 2023",b,restitucion,85.5 %; cuatro PPs,"Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto)","18,205.5 + 3,339.9 + 1,385 + 1,925.5 = 24,855.9 / 29,081 = 85.5 % ✓",si,,,no,"La razón cierra, pero son cinco renglones y no cuatro: apoyo administrativo son dos programas presupuestarios distintos en dos ramos (Ramo 25 PP 001 y Ramo 11 M001), como la propia nota al pie 15 reconoce."
V052,Cap. 8 Gasto en educación,Recuadro (p. 45),"Se planea destinar 10 mil 516 mdp para expansión de la educación inicial, inclusión educativa, mejoramiento de escuelas normales, formación de profesores, obligatoriedad y gratuidad de EMS y ES, y sistema para la carrera de los docentes",b,restitucion,"10,516","Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto)","Los programas del Ramo 11 que corresponden a las seis estrategias nombradas suman 3,600.1 mdp: S312 Expansión de la Educación Inicial 866.5, S295 Educación Especial 792.4, S300 Fortalecimiento a la Excelencia Educativa 831.7, S247 Desarrollo Profesional Docente 276.0, U079 Expansión de EMS y Superior 833.5",no_verificable,"6,916 mdp sin explicar",,no,"CIEP no enumera los PPs que suma. Se probaron todas las combinaciones de hasta cinco programas del Ramo 11: la única que da 10,516 es M001 + B003 + S298 (apoyo administrativo, libros de texto y planteles de EMS), que no corresponde a las estrategias nombradas. El agregado no se reconstruye por ningún perímetro plausible."
V053,Cap. 8 Gasto en educación,Recuadro (p. 45),A lo largo del ciclo presupuestario no se reporta el ejercicio de estas estrategias,c,juicio,,Informes trimestrales (no en carpeta),,no_verificable,,,na,
V054,Cap. 8 Gasto en educación,8.2 (p. 45),Las becas concentran 21.1 % del presupuesto de la SEP,b,restitucion,21.1,"Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto); DEC 2024 Anexo 18","89,695.7 / 425,755.5 = 21.07 %",si,,,na,"Cifras del proyecto. Con el aprobado: 102,958.1 / 439,017.9 = 23.5 %."
V055,Cap. 8 Gasto en educación,Nota al pie 12 (p. 45),"Becas de EB Benito Juárez, Beca Universal de EMS, Becas Elisa Acuña y Jóvenes Escribiendo el Futuro presentan un presupuesto de 89 mil 696 mdp",b,restitucion,"89,696","Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto); DEC 2024 Anexo 18","Proyecto: 36,607.4 + 39,366.6 + 2,020.6 + 11,701.1 = 89,695.7",si,,,na,"Reconstrucción exacta. El CGPE p. 58 agrupa solo tres de las cuatro como Programas de Becas 87,675.0."
V056,Cap. 8 Gasto en educación,8.2 (p. 45),La proporción de estudiantes del decil I sin beca creció 6.9 pp respecto a 2018,a,restitucion,6.9 pp,INEGI 2023 (externa),,no_verificable,,,si,Fuente externa; contrafactual declarado.
V057,Cap. 8 Gasto en educación,8.2 (p. 45),El gasto propuesto para EB alcanza 637 mil 503 mdp,b,restitucion,"637,503","Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto)","Subfunción 1 Educación básica, GF: aprobado 650,707.5; proyecto 650,707.5 − 13,262.4 (S072) − 57.9 (FAM IE básica) = 637,503.0",si,,,na,"Reconstrucción exacta del proyecto. PEF aprobado, no proyecto."
V058,Cap. 8 Gasto en educación,8.2 (p. 45),Esto es 3.2 % más que en el PEF 2023,b,restitucion,+3.2 %,"Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto)","637,503.0 / 589,264.0 / 1.048 = 1.0323",si,,,si,Contrafactual explícito. Con el aprobado la variación es +5.4 %.
V059,Cap. 8 Gasto en educación,8.2 (p. 45),Solamente 4 de los 18 PPs presentan una reducción,b,restitucion,4 de 18,"Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto)","Subfunción 1: 18 programas presupuestarios, 4 con variación real negativa",si,,,si,"Coincide en ambos números. PEF aprobado, no proyecto."
V060,Cap. 8 Gasto en educación,8.2 (p. 45),FONE servicios personales incrementaría en 18 mil 206 mdp,b,restitucion,"18,206","Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto)","I013 FONE servicios personales 416,012.8 → 454,187.0; real +18,205.5; nominal +38,174.1",si,,,no,"Variación real presentada como incremento de nivel. La diferencia con la nominal es de 20.0 mmp, más que el propio dato."
V061,Cap. 8 Gasto en educación,8.2 (p. 45),Servicios de EB en la CDMX incrementaría en mil 926 mdp,b,restitucion,"1,926","Analítico PEF aprobado 2023 y 2024 (GF, ramo x PP x UR x objeto)","Ramo 25 PP 003 Servicios de educación básica en la CDMX 45,621.0 → 49,736.3; real +1,925.5; nominal +4,115.3",si,,,no,Variación real presentada como incremento de nivel.
V062,Cap. 8 Gasto en educación,8.2 (p. 45),El FONE ha perpetuado inequidades salariales al interior y entre los estados y presenta irregularidades,c,juicio,,,,no_verificable,,,na,Juicio. El paquete no publica la fórmula de distribución del FONE ni las plantillas; la LCF art. 27 no está en carpeta.
V063,Cap. 8 Gasto en educación,8.2 (p. 45),"En 2022 el salario anual promedio de los docentes fue de $329 mil 75 pesos, con docentes que percibieron hasta 4 mdp",b,juicio,"329,075; 4 mdp",CIEP (2024),,no_verificable,,,na,Fuente derivada del propio CIEP. Anomalía de cita: un documento fechado el 14 de septiembre de 2023 cita CIEP (2024).
V064,Cap. 8 Gasto en educación,8.2 (p. 46),"El gasto por alumno en EB alcanzaría $29,545 pesos, el mayor desde 2016",b,restitucion,"29,545",Figura 8.2 del propio documento,"Máximo de la serie de la Figura 8.2 (2016: 28,482; 2023: 28,738)",si,,,no,"Denominador no declarado. Implícito: 637,503/29,545 = 21.577 millones, que no es la matrícula total de educación básica (~24 millones) sino la pública. El documento nunca dice cuál es su población de referencia ni de dónde sale."
