id,capitulo,seccion,afirmacion,tipo,tier_seccion,valor_ciep,fuente_oficial,valor_oficial,coincide,discrepancia,tipo_error,contrafactual_explicito,nota
V011,Presentación,Presentación (p. vi–vii),Juicios: las estimaciones podrían ser optimistas; la restricción presupuestaria se relaja con endeudamiento; la consistencia del marco es debatible; la visión de corto plazo domina,c,juicio,,,,,,,na,Juicio.
V012,Resumen ejecutivo,Parte I ingresos (p. viii),"ILIF 2023 estima 7.1 billones, 22.7 % del PIB, +9.9 % respecto a la LIF 2022 y +0.8 % respecto al cierre 2022; tributarios 14.7 % del PIB",a,restitucion,7.1; 22.7; 9.9; 0.8; 14.7,"CGPE 2023 p. 71, 150–151 (SHCP)","7,123,474.0; 22.7; +9.9 real vs LIF; +0.8 real vs est.; 14.7",si,,,si,Restitución del capítulo 1 (detalle en V1xx).
V013,Resumen ejecutivo,Ingresos por energía (p. viii),"Pemex + FMP + CFE suman 1.7 billones, +9.3 % real vs LIF 2022; FMP +25.3 %; Pemex +10 %; CFE −6.5 %; petroleros +15.2 % vs LIF 2022 y −11.5 % respecto al cierre 2022",a/b,restitucion,1.7; 9.3; 25.3; 10; −6.5; 15.2; −11.5,"ILIF 2023 art. 1o. numerales 7.72 y 9.97 (Pemex 826,492.8; CFE 398,988.8; FMP 487,742.6) vs ILIF 2022 (716,087.2; 406,582.8; 370,928.1) (Ejecutivo); CGPE 2023 p. 71 (SHCP)","1,713,224.2 = 1.7 ✓; +9.2 % real (1.050) ✓; FMP +25.2 ✓; Pemex +9.9 ✓; CFE −6.5 ✓; Pemex+FMP +15.2 ✓ (perímetro ILIF); vs cierre: 1,314,235.4 / 1,484,912.5 = −11.5 % NOMINAL; real −15.5 % (CGPE p. 71)",no,−11.5 nominal presentado junto a variaciones reales,contrafactual,no,"Todo reproduce salvo el −11.5 %, que es nominal (y mezcla el perímetro ILIF con el estimado CGPE que incluye ISR petrolero) sin decirlo; el cap. 13 dice −13 % para 'energéticos'."
V014,Resumen ejecutivo,Parte II gasto (p. ix),"El PPEF 2023 presentaría un incremento de 11.6 % respecto al PEF 2022, para ubicarse en 6.3 billones de pesos",a,restitucion,11.6 %; 6.3 billones,"CGPE 2023 p. 78–79, 142 (SHCP); DEC 2023 art. 2 (Ejecutivo)","Gasto neto total 8,257.6 mmp pagado (8,299.6 con diferimiento); +11.6 % real ✓",no,6.3 vs 8.3 billones,transcripcion,si,Ningún agregado del paquete vale 6.3 billones (programable devengado 5.96; gasto neto 8.26).
V015,Resumen ejecutivo,Parte II gasto (p. ix),El gasto programable tendrá una proporción menor en 2.2 pp respecto a lo aprobado en 2022,b,restitucion,−2.2 pp,CGPE 2023 p. 150 (SHCP),"5,207,251.7/7,048,205.6 = 73.9 %; 5,916,223.5/8,257,614.7 = 71.6 %; −2.2 pp ✓",si,,,si,
V016,Resumen ejecutivo,Parte II gasto (p. ix),"Gasto federalizado, pensiones y costo financiero concentran 63.2 % del PPEF",b,restitucion,63.2 %,"CGPE 2023 p. 79–80, 150 (SHCP); DEC Anexo 1","(2,432.8 + pensiones CIEP ≈1,695 + 1,079.1)/8,257.6 = 63.1 %; con 8,299.6: 62.7 %; con pensiones oficiales + PBAM (1,668.8): 62.7 / 62.4",aprox,63.2 vs 62.7–63.1,,na,"Depende del perímetro de pensiones de CIEP (5.4 % del PIB), no declarado en el resumen."
V017,Resumen ejecutivo,Parte II gasto (p. ix),"Espacio fiscal 2 % del PIB; 4,751.2 pesos por persona para política pública, 2.8 % menos que en 2022",b/c,juicio,"2 %; 4,751.2; −2.8 %",Concepto y cálculo de CIEP; CONAPO (externo),,no_verificable,,,no,Sin equivalente oficial; población externa.
V018,Resumen ejecutivo,Gasto en salud (p. ix),El sector salud aumenta 4.2 %; equivale a 2.8 % del PIB,a/b,restitucion,4.2 %; 2.8 %,CGPE 2023 p. 17 (gasto en salud +4.0 % real) (SHCP); p. 125 (función salud 2.8 % del PIB en 2022e),+4.0 % (función salud oficial); 2.8 % del PIB 2022e; 2023 por función no publicado en % PIB,aprox,4.2 vs 4.0 (perímetro CIEP),,no,Perímetro 'sector salud' propio de CIEP (nota del cap. 8); no declara si real.
V019,Resumen ejecutivo,Gasto en salud (p. ix),"Atención a la salud +46.5 %; Medicamentos gratuitos +0.06 %; gasto per cápita sin seguridad social 3,733 → 3,694 pesos (−2.1 %); programas de infraestructura sin presupuesto; IMSS-Bienestar y remanente FONSABI",a/b,restitucion,"46.5; 0.06; 3,733; 3,694; −2.1",Analíticos del PPEF 2023 por programa (ausentes); ILIF 2023 transitorios (FONSABI),,no_verificable,,,no,EM y analíticos del proyecto ausentes; población externa. FONSABI: verificar en V1xx (cap. 8).
V020,Resumen ejecutivo,Gasto en energía (p. ix),"Gasto del sector energético 1.2 billones, 3.6 pp del PIB, 13.5 % del PPEF, −8.1 % real; Pemex +1.5 %; SENER 95.61 % aportación patrimonial; sin partida para LitioMx",a/b,restitucion,1.2; 3.6; 13.5; −8.1; +1.5; 95.61,"CGPE 2023 p. 68 (Pemex programable +1.6 % real) (SHCP); DEC 2023 Anexo 1 (Pemex 678,406.8; Ramo 18 49,401.9) y analítico PEF 2022 aprobado (Pemex programable 636,281.1)","Pemex: 678,406.8/(636,281.1 × 1.05) = +1.5 % ✓; perímetro 'sector energético' de CIEP (Pemex, CFE, Sener, R23) no reproducible sin analíticos GF",aprox,,,no,"Solo Pemex verificable; el resto es perímetro propio con analíticos ausentes (ver cap. 6, V1xx)."
V021,Resumen ejecutivo,Gasto en energía (p. ix),El gasto para la CFE decrece 7.8 % en términos reales,b,restitucion,−7.8 %,"DEC 2023 Anexo 1 (CFE programable 439,772.4; costo financiero 35,841.2) vs analítico PEF 2022 aprobado (449,997.2; 29,585.6) (Ejecutivo/SHCP)",Programable: −6.9 % (1.050) / −6.7 % (1.047); total con costo financiero: −5.6 %,no,−7.8 vs −6.9 / −5.6,perimetro,no,No reproduce con ninguna combinación programable / costo financiero; perímetro CFE de CIEP no declarado en el resumen (ver cap. 6).
V022,Resumen ejecutivo,Gasto federalizado (p. ix),"Gasto federalizado 2,432,770.9 mdp (7.7 % del PIB), +9.9 % vs aprobado 2022, 29.3 % del gasto neto; participaciones 50.2 %, aportaciones 38.0 %, convenios 5.0 %, salud 3.4 %, resto 3.4 %",a/b,restitucion,"2,432,770.9; 7.7; 9.9; 29.3; 50.2; 38.0; 5.0; 3.4; 3.4","CGPE 2023 p. 79 (2,432.8 mmp; +9.9 %; participaciones 50.2 %; aportaciones 41.0 %; otros 8.8 %) (SHCP); DEC Anexo 1 (R28 1,220,271.1; R33 924,331.7; R25 72,782.7)",7.75 ✓; 29.3 ✓; 50.16 ✓; aportaciones R33 solas = 38.0 (CGPE incluye R25: 41.0),aprox,aportaciones 38.0 vs 41.0 (perímetro),,si,CIEP separa el Ramo 25 en 'resto'; perímetro propio no declarado en el resumen pero reproducible.
V023,Resumen ejecutivo,Gasto federalizado (p. ix),"Por habitante: 5,647.8 pesos a educación, 1,286 a salud, 2,463.9 a protección social y vivienda",b,restitucion,"5,647.8; 1,286; 2,463.9",CONAPO (externo); analíticos por fondo (ausentes),,no_verificable,,,na,Población externa; asignación por función propia de CIEP.
V024,Resumen ejecutivo,Gasto en infraestructura (p. x),"Gasto público en inversión 1,190,133 mdp, +15.6 % respecto al PEF 2022",a,restitucion,"1,190,133; 15.6 %","CGPE 2023 p. 17 y 80 (gasto de inversión 1,190.1 mmp de 2023; +15.6 % real vs PEF) (SHCP)","1,190.1 mmp ✓; +15.6 ✓",si,,,si,La referencia de CEPAL (4 % del PIB) es externa.
V025,Resumen ejecutivo,Gasto en infraestructura (p. x),Principal destino Combustibles y energía (−7.4 %); Vivienda y servicios a la comunidad 21.3 %; Comunicaciones y transportes 17.3 %; Salud 2.6 %,b,restitucion,−7.4; 21.3; 17.3; 2.6,Analíticos por función y capítulo (ausentes),,no_verificable,,,no,Requiere analíticos del proyecto por función × capítulo de gasto (ver cap. 9).
V026,Resumen ejecutivo,Gasto en educación (p. x),"Gasto educativo por debajo de los niveles 2016–2021 y 0.8 pp del PIB por debajo de lo recomendado; +44,272 mdp vs PEF 2022; 88.8 % del aumento en tres partidas",a/b,restitucion,"44,272; 88.8 %; 0.8 pp",CGPE 2023 p. 125 (función educación 3.4 % del PIB en 2016 → 2.9 en 2022e) (SHCP); analíticos ausentes,"Serie oficial 2016–2022e cae de 3.4 a 2.9 % del PIB, congruente; el resto no verificable",no_verificable,,,no,Perímetro educativo de CIEP; recomendación externa (ver cap. 7).
V027,Resumen ejecutivo,Gasto en pensiones (p. x),"1.7 billones para pensiones contributivas y de Bienestar, 5.4 % del PIB y 20.4 % del PPEF, +12.8 % vs aprobado 2022",a/b,restitucion,1.7; 5.4; 20.4; 12.8,"CGPE 2023 p. 80 (pensiones 1,230.5 → 1,333.3 mmp de 2023, +8.4 %) y p. 105 (PBAM 238.0 → 335.5, +34.3 %) (SHCP)","1,333.3 + 335.5 = 1,668.8 mmp (5.3 % del PIB; 20.1 % del PPEF); (1,668.8)/(1,230.5 + 238.0 × 1.05) = +12.7 %",aprox,5.4 / 20.4 vs 5.3 / 20.1 con el perímetro contributivas + PBAM,,si,CIEP incluye además pensiones para personas con discapacidad u otras; perímetro declarado en el cap. 5 (ver V1xx).
V028,Resumen ejecutivo,Gasto en pensiones (p. x),58.4 % de las personas pensionadas son hombres y 41.6 % mujeres; las mujeres reciben una pensión 14 % menor,b,mixta,58.4; 41.6; 14 %,ENIGH / cálculo CIEP (externo),,no_verificable,,,na,Fuente externa al paquete.
V029,Resumen ejecutivo,Economía de los cuidados (p. x),"Presupuesto de programas de cuidado directo −2.7 % real; FAM asistencia social −6.3 %, Educación Inicial +0.6 %, PABNNHMT +0.1 %",b,restitucion,−2.7; −6.3; 0.6; 0.1,Analíticos por programa (ausentes),,no_verificable,,,si,Perímetro propio de CIEP (metodología del cap. 10).
V030,Resumen ejecutivo,Parte III deuda (p. xi),"La política de deuda 2023–2028 no contempla la transición demográfica ni las presiones por pensiones, costo financiero y gasto federalizado; no es responsable con las futuras generaciones",c,juicio,,"CGPE 2023 p. 103–105 (riesgos de largo plazo: pensiones, salud; pasivo pensionario 43.6 % del PIB)",,,,,na,"Juicio. Dato en contra parcial: el CGPE sí nombra la pirámide poblacional y el pasivo pensionario como riesgos de largo plazo (p. 103–104), aunque no los integra a la proyección del SHRFSP."
V031,Resumen ejecutivo,Parte III deuda (p. xi),El Paquete proyecta un SHRFSP constante en 49.4 % del PIB para 2023–2028,a,restitucion,49.4 todos los años,"CGPE 2023 p. 101, 135 (SHCP); ILIF p. XXXIX",49.4 en 2023–2028 ✓,si,,,na,
V032,Resumen ejecutivo,Parte III deuda (p. xi),…sin mostrar cómo se logrará mantener el equilibrio presupuestario constante,a/c,juicio,equilibrio presupuestario constante,"CGPE 2023 p. 101, 135 (balance público −2.2 % del PIB en 2024–2028; balance sin inversión 0.0 solo para 2023) (SHCP)",El CGPE no proyecta equilibrio: proyecta déficit público de 2.2 % del PIB en 2024–2028 (RFSPF 2.7),no,equilibrio vs déficit de 2.2 %,objeto,na,Nombra 'equilibrio presupuestario' lo que la fuente presenta como déficit constante; el único equilibrio del paquete es el balance sin inversión de 2023.
V033,Resumen ejecutivo,Parte III deuda (p. xi),La deuda pública per cápita seguirá en aumento,b,mixta,,CONAPO (externo); CGPE 2023 p. 101 (SHRFSP nominal creciente),Con 49.4 % constante y PIB nominal creciente el saldo nominal sube 5–6 % anual; per cápita real depende de población externa,no_verificable,,,no,Cierto en nominal por construcción; en términos reales y per cápita requiere CONAPO.
V034,Resumen ejecutivo,Costo financiero (p. xi),"Costo financiero +30 % en 2023, 1.1 billones, 3.4 % del PIB; el principal crecimiento en la deuda del Gobierno Federal (+38.0 %), equivalente a 2.7 % del PIB",a/b,restitucion,30 %; 1.1; 3.4; 38.0; 2.7,"CGPE 2023 p. 79, 150 (1,079,087.1; +29.9 % real; 3.4 %) (SHCP); DEC 2023 y 2022 Anexo 8 (Ramo 24 840,943.3 vs 580,638.2) (Ejecutivo)","+29.9 (CGPE); Ramo 24: 840,943.3/(580,638.2 × 1.05) = +37.9 %; 2.68 % del PIB",aprox,30.0 vs 29.9; 38.0 vs 37.9 (deflactor CIEP ≈1.048),,si,'Deuda del Gobierno Federal' = Ramo 24; el CGPE p. 88 da 2.9 % del PIB para el GF incluyendo el Ramo 34.
V035,Resumen ejecutivo,Costo financiero (p. xi),El monto se basa en supuestos optimistas; ante un entorno adverso el costo financiero puede subir y provocar reasignaciones,c,juicio,,,,,,,na,Juicio.
V036,11 Costo financiero,"Infografía (p. 69, PDF 80)","Costo financiero de la deuda PPEF 2023: 1,079,087.0 mdp; variación vs PEF 2022 +30.0 %; 3.4 % del PIB; 13.0 % del PPEF",a/b,restitucion,"1,079,087.0; 30.0; 3.4; 13.0","CGPE 2023 p. 150 (1,079,087.1; +29.9 % real) (SHCP); DEC 2023 art. 2 y Anexo 8","1,079,087.1; 29.9; 3.44; 1,079,087.1/8,299,647.8 = 13.0 ✓",aprox,"30.0 vs 29.9; 1,079,087.0 vs .1",deflactor,si,"Deflactor CIEP ≈1.048 (830.8 mmp de 2023 en CGPE p. 79 implica 1.0497). [Remarcado ex post 2026-09-06, corrida 2024, instrucción v3 §2.10: tipo_error=deflactor.]"
V037,11 Costo financiero,Infografía texto (p. 69),El costo financiero del Gobierno Federal representa 2.7 % del PIB; el de Pemex y CFE representan 1.8 % y 0.4 % del PIB,a/b,restitucion,2.7; 1.8; 0.4 (% del PIB),DEC 2023 Anexo 1 y 8 (Ejecutivo); PIB CGPE p. 134,"GF 840,943.3/31,401,700 = 2.68 % ✓; Pemex 148,086.0 = 0.47 % del PIB y 1.78 % del PPEF; CFE 35,841.2 = 0.11 % del PIB y 0.43 % del PPEF",no,"1.8 y 0.4 son % del PPEF, no del PIB",objeto,na,Las burbujas de la misma página rotulan 1.8 y 0.4 como '% PPEF'; el texto los llama % del PIB.
V038,11 Costo financiero,Infografía burbujas (p. 69),"GF 840,943.3 (10.1 %, +38.0 %); Pemex 148,086.0 (1.8 %, −1.0 %); CFE 35,841.2 (0.4 %, 15.5 % con flecha a la baja); ahorradores y deudores 54,216.5 (0.7 %, +33.6 %)",a/b,restitucion,ver afirmación,"DEC 2023 Anexo 1.E y Anexo 8; DEC 2022 Anexo 1.E y 8 (Pemex 142,556.1; CFE 29,585.6; R34 38,683.9; R24 580,638.2) (Ejecutivo)",Montos ✓; % del PPEF 10.13 / 1.78 / 0.43 / 0.65 ✓; variaciones reales (1.050): +37.9 / −1.1 / +15.4 / +33.5,aprox,38.0 vs 37.9; 33.6 vs 33.5; flecha de CFE apunta a la baja con +15.5 %,,si,Base = DEC 2022 (proyecto) = PEF 2022 aprobado para las EPE según el analítico de entidades; la flecha roja descendente de CFE contradice el signo.
V039,11 Costo financiero,§11 apertura (p. 70),Costo financiero 3.4 % del PIB; comparado con lo aprobado para 2022 (2.7 % del PIB) es 0.7 pp mayor,a/b,restitucion,2.7 % (aprobado 2022); +0.7 pp,"CGPE 2023 p. 58, 135, 150 (costo financiero aprobado 2022 = 2.8 % del PIB) (SHCP)","791,463.8/28,129,300 = 2.81 % con el PIB de aprobación (CGPE 2022 p. 119); 2.72 % solo con el PIB revisado 29,058.3; diferencia oficial 0.6 pp",no,2.7 vs 2.8; 0.7 vs 0.6 pp,contrafactual,no,Quinta declaración: el aprobado 2022 se divide entre el PIB revisado sin decirlo; la fuente oficial presenta 2.8 en todos sus cuadros.
V040,11 Costo financiero,§11.1 (p. 70),Costo financiero del GF +38.0 % vs aprobado 2022 = 2.7 % del PIB; EPE +1.8 % = 0.6 % del PIB; resto de pasivos +33.6 % = 0.2 % del PIB,a/b,restitucion,38.0; 2.7; 1.8; 0.6; 33.6; 0.2,DEC 2023 y 2022 Anexos 1.E y 8 (Ejecutivo); PIB CGPE p. 134,"R24 +37.9 % (2.68 %); EPE 183,927.2/(172,141.7 × 1.05) = +1.8 % (0.59 %); R34 +33.5 % (0.17 %)",aprox,décimas de deflactor,,si,'Resto de pasivos' = Ramo 34 (IPAB y deudores).
V041,11 Costo financiero,§11.1 ¿Cómo se genera el costo? (p. 70),"La deuda del Gobierno Federal se clasifica por deuda externa (11.4 % del total), instrumentos financieros internos (83.9 %) y resto de pasivos internos (4.7 %)",a/b,restitucion,11.4; 83.9; 4.7 (% de la deuda),"Figura 11.2 de CIEP (costo financiero por fuente: 96,147 / 703,360 / 39,436 mdp de 2023); CGPE 2023 p. 88 (deuda del GF: externa 19.2 %, interna 80.8 % en 2023e) (SHCP)","Los porcentajes son participaciones del COSTO FINANCIERO del Ramo 24 (11.4 / 83.6 / 4.7 de 840,943), no de la deuda; la deuda externa es 19.2 % del total (20.6 % en 2022e)",no,11.4 % (costo) presentado como composición de la deuda; oficial 19.2 %,objeto,na,"El texto nombra 'deuda' a la composición del costo financiero. Composición del Ramo 24 por concepto: Tomo I ausente, no verificable contra fuente."
V042,11 Costo financiero,§11.1 Instrumentos financieros (p. 70),Costo de instrumentos internos: crecimiento real de 38.1 %; deuda externa: crecimiento de 11.4 %,b,restitucion,38.1; 11.4,"Figura 11.2 de CIEP (mdp de 2023: internos 510,774 → 703,360; externa 91,038 → 96,147); Tomo I del PPEF (ausente)","Internos: 703,360/510,774 = +37.7 % (≈38.1 con lectura de la figura); externa: 96,147/91,038 = +5.6 %; 11.4 % es la participación de la externa en el costo, no su crecimiento",no,11.4 vs ≈5.6,transcripcion,no,La fuente del desglose (Tomo I) no está en carpeta; el cotejo es interno contra la propia figura 11.2 de CIEP.
V043,11 Costo financiero,§11.1 EPE (p. 70),El costo financiero de las EPE se compone de Pemex (80.5 %) y CFE (19.5 %); el de Pemex (0.5 % del PIB en 2023) se reduce −1.0 % respecto a 2022,a/b,restitucion,80.5; 19.5; 0.5; −1.0,"DEC 2023 Anexo 1.E (Pemex 148,086.0; CFE 35,841.2); DEC 2022 (Pemex 142,556.1) (Ejecutivo)","148,086.0/183,927.2 = 80.5 ✓; 19.5 ✓; 0.47 % del PIB ✓; 148,086.0/(142,556.1 × 1.05) = −1.1 %",si,,,si,'Se destina a intereses de la deuda externa' no es verificable (Tomo I).
V044,11 Costo financiero,Conceptos clave (p. 70),"Costo financiero de la deuda pública: erogaciones por intereses, comisiones y gastos de la deuda y gasto destinado al saneamiento del sistema financiero (SHCP 2022b)",a,restitucion,definición,"SHCP (2023) Balance Fiscal en México p. 3–4 y DEC 2023 Anexo 8 (Ramos 24, 29, 34 y EPE) (SHCP)",Congruente con el Anexo 8 del DEC,si,,,na,
V045,11 Costo financiero,§11.1 CFE y Figura 11.3 (p. 71–72),"Costo de CFE: interno 25.7 %, externo 42.1 %, coberturas 32.2 %; crecimiento real 12.9 % interno y 2.1 % externo; la deuda interna pasó de 53.1 % del costo en 2016 a 23.7 % en 2023; coberturas +42.4 % en 2023 y +291.9 % aprobado en 2022",a/b,restitucion,25.7; 42.1; 32.2; 12.9; 2.1; 53.1; 23.7; 42.4; 291.9,"Tomo I / flujo de efectivo de CFE (ausente); Cuenta Pública 2016 (ex post, ausente)","Solo el total (35,841.2) es verificable con el DEC Anexo 1.E; la suma de la figura 11.3 para 2023 no coincide con 35,841 al leerla (≈36,700)",no_verificable,,,si,Desglose de CFE no está en carpeta; 25.7 + 42.1 + 32.2 = 100 pero 'interno 25.7 %' y 'interna representaría 23.7 %' son dos cifras para un mismo objeto en la misma página.
V046,11 Costo financiero,§11.2 Supuestos macroeconómicos (p. 72),"Los cálculos se realizaron con una tasa nominal promedio de 5.5 % y una inflación anual de 4.7 % en 2023, lo que implica una tasa real acumulada de 6.0 %",a/b,juicio,5.5; 4.7; 6.0,CGPE 2023 p. 134 (Cetes 28 nominal promedio 2023 = 8.95 %; 5.5 % es la tasa de 2026–2028; inflación promedio 4.7; real acumulada 5.98) (SHCP),8.95 (no 5.5); 4.7 ✓; 5.98 ✓,no,5.5 vs 8.95,transcripcion,na,"Con 5.5 nominal y 4.7 de inflación la real sería 0.8 %, no 6.0: la cifra copiada es la de otro año."
V047,11 Costo financiero,§11.2 Tasas de interés (p. 72),Por cada punto porcentual de tasa el costo financiero crecería 0.11 % del PIB (SHCP 2022d),a,juicio,0.11 % del PIB,"CGPE 2023 p. 102 (100 pb = 30,218.0 mdp = 0.11 % del PIB, incluye IPAB) (SHCP)","0.11 ✓ (0.096 con el PIB de 31,401.7; el CGPE redondea)",si,,,na,La sensibilidad oficial incluye al IPAB; CIEP no lo dice.
V048,11 Costo financiero,§11.2 Fondo de estabilización (p. 72),Se propuso una iniciativa a la LFPRH para que el costo financiero del GF no gastado pueda reasignarse al FEIP,a,juicio,iniciativa LFPRH → FEIP,Iniciativa de reforma a la LFPRH del paquete 2023 (no en carpeta); CGPE 2023 no la menciona,,no_verificable,,,na,La iniciativa de LFPRH no está en la carpeta (la corrida 2022 registró que las iniciativas distintas de ILIF y PPEF no se descargaron).
V049,11 Costo financiero,§11.2 (p. 72),Juicios: las implicaciones varían con las variables macro; presiones inflacionarias podrían motivar alzas y reasignaciones,c,juicio,,,,,,,na,Juicio.
V050,12 Endeudamiento y deuda,"Infografía (p. 74, PDF 85)",El indicador de la deuda (SHRFSP/PIB) cierra 2022 en 48.9 % y se estabiliza en 49.4 % de 2023 a 2028,a,restitucion,48.9; 49.4,"CGPE 2023 p. 101, 135 (SHCP)",48.9e; 49.4 en 2023–2028,si,,,na,
V051,12 Endeudamiento y deuda,"Infografía, figura Saldo histórico de RFSP (p. 74)","SHRFSP en mil millones: 2022 interno 9,705 + externo 4,504 = 14,209 (48.9 %); 2023 10,896 + 4,585 = 15,481 (49.4 %); 2024 16,435; 2025 17,383; 2026 18,460; 2027 19,567; 2028 20,696; interno 68.3 % / externo 31.7 % en 2022",b,restitucion,ver afirmación,"CGPE 2023 p. 101, 134–135 (% del PIB × PIB nominal: 48.9 × 29,058.3 = 14,209.5; 49.4 × 31,401.7 = 15,512; 16,435; 17,418; 18,459; 19,567; 20,738; interno 33.4/48.9 = 68.3) (SHCP)","2022 ✓; 2023 15,481 vs 15,512 (−0.2 %); 2024 ✓; 2025 17,383 vs 17,418; 2026 ✓; 2027 ✓; 2028 20,696 vs 20,738 (−0.2 %); 68.3/31.7 ✓",aprox,"≤0.2 % en 2023, 2025 y 2028",,na,"Reproduce con el PIB nominal de cada año, no con pesos de 2023 (ver V052)."
V052,12 Endeudamiento y deuda,"Infografía, figura Saldo histórico de RFSP (p. 74)",Eje de la figura: 'mil millones MXN 2023',b,restitucion,MXN 2023,CGPE 2023 p. 134 (PIB nominal por año) (SHCP),"Los valores 2024–2028 son 49.4 % del PIB NOMINAL de cada año (pesos corrientes); en pesos de 2023 el SHRFSP crecería solo con el PIB real (2.4 % anual), no 5–6 %",no,serie nominal rotulada como pesos de 2023,objeto,na,La unidad nombrada no es la unidad de la serie; el 'crecimiento' del saldo que la figura muestra es inflación en dos terceras partes.
V053,12 Endeudamiento y deuda,"Infografía, figura Tasas de interés efectivas (p. 74)","Costo financiero / saldo × 100, interno y externo, 2013–2028 (2023: externo ≈6.9, interno ≈6.3; 2028 ≈5.5)",b,mixta,ver figura,"Ramo 24 por moneda y saldos por moneda (Tomo I; Estadísticas Oportunas, ex post); CGPE 2023 p. 126 (saldos a julio 2022)","Tasa implícita agregada verificable: 1,079,087.1/14,209,000 = 7.6 % en 2023; 904,925.2/13,110,000 = 6.9 % en 2022e; el desglose por moneda no es verificable",no_verificable,,,no,Derivación de CIEP con series ex post; no declara qué saldo (SHRFSP o deuda del GF) usa como denominador.
